new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,0,1,1,0,100,128,8,102573.6
1,1,0,1,0,100,128,2,17770.0
4,0,1,1,1,60,4096,10,416949.0
3,1,1,0,0,80,16,6,11271.2
1,0,0,1,1,30,256,2,17688.6
1,1,1,1,0,80,512,4,11889.6
3,0,0,1,1,100,64,0,12211.8
2,0,0,0,1,70,1024,8,100672.0
1,1,0,0,0,70,128,0,17826.6
4,0,1,0,0,80,128,0,8906.2
4,0,1,1,1,60,16,4,43455.2
3,0,1,1,1,90,64,2,12169.8
3,1,0,0,1,60,64,2,12051.4
3,1,1,0,0,30,2,10,48986.6
5,1,1,1,1,90,64,2,9195.0
5,1,0,1,0,40,4,4,9160.2
2,0,0,0,1,70,64,6,89675.6
2,1,0,1,1,80,4096,2,17625.2
2,1,0,0,1,40,32,8,99617.6
4,0,1,1,1,10,1024,6,48618.6
5,1,1,1,1,100,4,4,9203.0
1,1,0,1,1,30,256,2,17769.0
3,1,1,0,0,90,16,8,37417.0
4,1,1,1,1,60,16,4,43662.2
5,1,1,1,1,80,4096,6,47736.2
3,1,1,1,0,80,128,2,12154.8
1,1,0,1,0,30,512,4,11869.0
3,1,1,0,0,80,64,2,12145.8
3,1,1,0,0,80,64,8,38054.4
5,1,1,0,1,80,16,6,47428.2
2,1,1,0,0,80,64,2,4694.6
3,1,1,1,0,80,2048,6,10591.2
3,0,1,0,0,80,128,6,10577.2
3,0,1,0,0,80,64,10,48430.0
4,1,1,1,0,80,128,0,35805.6
3,0,0,1,1,80,256,2,12149.6
3,0,0,1,1,80,64,2,12154.6
2,0,1,0,0,30,64,4,4546.4
1,1,1,1,0,30,4,4,12462.8
4,0,1,1,1,30,64,2,35595.8
3,1,0,1,0,80,2048,0,12171.4
5,1,1,1,0,80,512,2,9178.4
5,1,1,0,1,100,1,0,9115.6
4,0,1,0,1,80,16,6,20423.8
2,0,0,0,0,80,128,2,4730.6
5,1,1,0,0,100,1,0,9082.8
5,1,1,1,1,100,4,0,9162.4
2,1,1,0,0,30,64,4,4564.0
5,1,0,0,0,100,128,0,9156.8
3,0,0,0,0,40,128,0,12047.4
2,0,1,1,1,80,4,2,17593.8
5,1,0,0,0,30,512,0,9183.4
2,1,0,0,0,100,1,0,11210.6
5,1,1,0,0,100,512,4,9138.0
5,1,1,1,1,80,1,0,9119.8
2,1,1,0,0,30,64,4,4564.0
2,0,1,0,0,30,1024,4,4572.6
5,1,0,0,0,30,128,0,9145.0
4,1,1,0,0,30,128,2,8996.6
2,1,1,0,0,80,64,4,4351.4
3,0,1,0,1,100,128,0,12127.0
2,0,0,0,0,30,128,2,4864.4
5,1,1,1,1,80,1,0,9119.8
4,0,0,0,0,80,128,0,8969.4
2,0,1,1,0,30,128,2,17620.0
5,1,1,0,0,50,1,4,9158.4
2,1,1,0,0,30,64,4,4564.0
2,0,1,0,1,30,64,4,4558.2
2,0,1,0,0,30,1024,4,4572.6
2,1,1,0,0,30,64,4,4564.0
4,1,1,0,0,30,256,2,8992.4
2,1,1,0,0,30,128,2,4833.0
2,0,0,0,0,30,1024,4,4584.2
5,1,1,0,0,70,64,4,9268.2
2,1,1,0,0,30,64,10,100190.2
3,0,1,0,1,30,64,4,12110.0
2,0,0,0,0,30,1024,2,4867.6
2,0,1,0,0,80,64,4,4342.4
2,1,1,0,0,80,4096,2,4693.0
2,1,1,0,0,80,64,6,89564.6
2,1,1,0,0,80,2048,2,4711.8
2,1,1,0,1,30,64,4,4569.0
2,1,1,0,0,30,64,4,4564.0
2,0,1,0,0,60,64,4,4372.0
2,0,1,0,1,30,64,4,4558.2
2,1,0,0,0,80,64,4,4368.2
2,1,1,0,0,80,2,4,12740.4
2,0,1,0,0,30,32,4,4568.8
2,1,1,0,0,80,64,4,4351.4
2,1,1,0,1,30,64,4,4569.0
2,0,1,0,1,30,64,4,4558.2
5,1,1,0,0,80,64,4,9227.6
2,0,1,0,0,30,64,4,4546.4
4,1,1,0,0,30,64,4,13191.8
5,1,1,0,0,30,64,4,9240.6
2,1,1,0,1,30,64,8,100290.0
1,1,1,0,0,30,64,4,11888.0
2,0,1,0,0,30,1,4,14744.6
2,0,1,1,0,30,64,4,11897.8
2,0,1,0,1,30,64,2,4835.2
