new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,2,2,0,1,0,4096,1,166.8476
1,1,1,0,0,0,1024,0,32.4778
0,2,2,1,1,0,512,9,167.3204
1,2,2,1,1,0,4096,9,167.6246
0,0,2,2,0,0,4096,0,167.2748
1,1,2,1,0,1,1024,0,32.517
0,1,2,2,1,1,1024,0,32.2096
1,2,2,2,1,1,4096,9,165.6936
0,2,2,0,1,1,4096,5,165.733
1,1,1,0,1,1,512,0,32.952
0,2,1,0,1,0,512,1,165.6704
0,2,1,0,1,1,2048,1,165.4908
0,2,2,1,0,1,2048,1,168.1816
1,2,2,0,0,0,2048,5,164.8898
0,0,2,1,0,0,512,0,165.9226
0,2,2,2,0,0,1024,1,165.342
1,0,2,2,1,0,2048,0,165.18
1,0,1,0,0,1,1024,0,168.7374
0,2,2,0,1,0,1024,1,165.2514
0,2,1,0,1,1,1024,5,165.5956
1,1,2,2,1,1,1024,0,32.0974
1,0,2,2,1,0,2048,0,165.18
0,2,2,2,0,1,2048,1,164.6412
0,2,1,0,1,1,4096,5,166.6048
1,1,1,0,0,0,1024,0,32.4778
0,1,2,0,1,0,1024,0,31.4174
1,1,2,1,1,1,1024,0,31.9676
1,1,2,0,0,0,512,0,31.6822
1,0,2,0,0,0,512,0,164.1818
1,0,2,2,0,0,512,0,164.1168
1,0,2,2,0,0,512,0,164.1168
1,1,2,1,1,1,1024,0,31.9676
0,1,2,2,1,0,1024,0,31.0888
1,1,2,1,0,1,1024,0,32.517
0,1,2,0,1,0,2048,0,31.6254
0,1,2,2,1,0,1024,0,31.0888
1,1,2,2,1,0,512,0,31.1244
1,1,2,1,1,1,1024,0,31.9676
1,1,2,1,1,0,1024,0,32.2274
1,0,2,1,1,1,1024,0,165.3652
0,1,2,2,1,0,2048,0,31.2782
0,1,2,2,1,0,2048,0,31.2782
1,1,2,1,1,1,1024,0,31.9676
1,1,2,1,1,0,1024,0,32.2274
0,1,1,0,1,0,2048,0,32.0884
1,1,2,2,1,0,512,0,31.1244
1,1,2,1,1,1,1024,0,31.9676
0,1,2,2,1,0,2048,0,31.2782
1,1,2,2,1,0,512,0,31.1244
1,1,2,1,1,0,2048,0,32.3072
1,1,2,2,1,1,512,0,32.3934
0,1,2,2,1,0,1024,0,31.0888
1,1,2,1,1,0,512,0,31.6506
1,1,2,2,0,0,512,0,32.0308
1,1,2,2,1,0,512,0,31.1244
1,1,2,1,0,1,1024,0,32.517
1,1,2,1,1,1,1024,0,31.9676
1,1,2,2,1,0,512,0,31.1244
1,1,2,2,1,0,512,0,31.1244
1,1,2,2,1,0,512,0,31.1244
0,1,2,2,1,0,1024,0,31.0888
0,1,2,2,1,0,1024,0,31.0888
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,2048,0,31.2782
0,1,2,0,1,0,512,0,31.0946
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,1024,0,31.0888
0,1,2,1,1,0,512,0,31.03
0,1,2,1,1,0,512,0,31.03
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,4096,0,31.3372
0,1,2,2,1,0,1024,0,31.0888
0,1,2,2,1,0,1024,0,31.0888
0,1,2,2,1,0,1024,0,31.0888
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,1024,0,31.0888
0,1,2,1,1,1,512,0,31.368
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,1024,0,31.0888
0,1,2,2,1,0,1024,0,31.0888
0,1,2,2,1,0,1024,0,31.0888
1,1,2,2,1,0,512,0,31.1244
0,1,2,2,1,1,512,0,31.6432
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,4096,0,31.3372
0,1,2,2,1,0,512,0,30.8186
0,1,2,1,1,0,512,0,31.03
0,1,2,2,1,0,512,0,30.8186
1,1,2,2,1,0,512,0,31.1244
0,1,2,2,1,0,512,0,30.8186
0,1,2,0,1,0,512,0,31.0946
1,1,2,2,1,0,512,0,31.1244
1,1,2,2,1,0,512,0,31.1244
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,512,0,30.8186
