ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,100744.0
1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,73412.0
1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,76521.4
0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,64916.2
0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,77104.0
0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,63348.8
0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,60163.4
0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,69742.2
1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,72547.2
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,95539.6
1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,73830.6
1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,82823.6
0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,81036.0
1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,91262.0
0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,93723.8
0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,79738.6
1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,87591.4
1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,70420.6
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,72495.6
0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,79509.6
1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,65003.6
1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,66741.8
1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,66194.2
0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,71519.8
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,94077.2
1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,69165.4
0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,66450.2
0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,64916.2
1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,70303.6
1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,67171.4
0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,70548.2
1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,62743.4
0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,74378.2
0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,62774.8
