fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,1,1,0,256,2,256,46610.2
1,1,1,0,1,64,8,4096,127743.8
0,1,1,1,1,64,2,4096,46733.4
0,1,1,0,1,64,8,256,46219.0
0,1,0,0,0,128,32,4096,46197.8
1,0,0,0,1,128,32,1024,132768.2
0,1,1,0,0,64,32,4096,46715.4
0,0,1,0,1,128,2,256,46121.0
1,0,1,1,1,256,8,4096,136683.0
0,0,0,1,1,128,8,256,46472.4
1,1,0,0,1,128,8,1024,133644.4
1,1,1,1,1,64,32,4096,131409.8
1,0,0,1,0,256,8,4096,131930.8
1,1,0,1,1,128,32,1024,129568.0
1,0,0,0,1,128,2,1024,135630.0
0,1,0,0,1,128,8,4096,46303.0
0,1,0,0,1,128,2,4096,46277.6
0,0,1,0,1,256,2,4096,46301.0
0,0,1,1,0,64,8,4096,46665.2
1,0,0,1,1,128,8,4096,133106.0
1,0,1,1,0,128,2,1024,140842.0
1,0,1,1,1,128,32,4096,136977.2
0,1,0,1,0,64,8,4096,46203.0
0,0,1,0,0,64,2,256,46097.4
0,0,1,1,1,256,2,256,46651.4
1,1,1,0,1,64,8,4096,127743.8
0,1,0,0,1,128,2,1024,46099.4
0,1,0,1,1,128,32,4096,46394.0
0,0,1,0,1,256,32,256,46282.0
0,0,1,0,1,256,2,4096,46301.0
0,0,1,0,1,256,8,4096,46508.6
0,1,1,0,1,128,2,4096,46615.0
0,0,1,0,1,256,2,4096,46301.0
0,0,1,0,1,256,32,256,46282.0
0,0,0,1,1,128,2,256,46335.6
0,1,1,0,0,128,2,256,46183.8
0,1,1,0,1,128,2,256,46285.6
0,1,0,1,1,64,2,4096,46521.2
0,1,0,1,1,128,32,4096,46394.0
0,1,0,0,0,128,8,4096,46379.2
0,1,1,0,1,128,32,256,46129.8
1,1,1,0,1,128,2,1024,134561.0
0,0,0,0,0,64,32,256,46471.2
0,1,0,0,0,128,2,4096,46368.8
0,1,1,0,0,64,2,256,46338.6
0,1,0,0,1,128,2,4096,46277.6
1,1,1,0,1,64,8,1024,127709.6
0,1,1,0,1,128,32,256,46129.8
0,1,1,0,0,64,2,256,46338.6
0,1,0,0,0,64,8,4096,46264.8
0,1,0,0,0,128,32,4096,46197.8
0,1,0,0,0,256,2,4096,46096.4
0,1,1,0,1,64,32,256,46325.8
0,1,0,1,0,256,2,4096,47670.8
0,1,1,0,1,64,8,256,46219.0
0,1,1,1,0,128,32,256,46666.8
0,1,0,0,0,128,32,4096,46197.8
0,0,1,0,1,256,8,256,46064.6
0,0,0,0,0,256,2,256,46207.6
0,1,1,0,1,256,8,256,47092.0
0,0,1,0,1,64,8,1024,47386.4
0,1,0,1,0,64,2,256,46355.4
0,0,0,0,0,256,8,256,46305.6
0,1,0,0,1,64,2,1024,46267.8
0,1,0,0,1,64,2,1024,46267.8
0,1,1,0,0,256,2,256,46407.8
0,1,0,0,1,128,2,1024,46099.4
0,1,1,0,1,256,8,4096,46207.2
1,1,0,0,1,128,2,1024,130383.4
0,0,0,1,0,128,32,4096,46365.0
0,1,1,0,0,64,8,256,45922.8
0,1,1,0,1,128,2,256,46285.6
0,0,0,0,1,256,2,256,46214.2
0,1,1,0,0,128,32,4096,46145.8
0,1,0,0,0,256,2,256,46440.0
0,1,1,0,1,128,2,256,46285.6
0,0,1,0,0,64,2,256,46097.4
0,1,1,0,1,128,32,256,46129.8
0,0,1,0,1,256,8,256,46064.6
0,1,0,0,0,256,8,256,46335.6
0,1,1,0,1,256,8,4096,46207.2
0,1,0,0,1,128,32,4096,46213.6
0,0,1,1,0,128,2,256,46483.8
0,1,1,0,0,128,32,4096,46145.8
0,0,0,0,0,64,2,256,46272.2
0,1,1,0,1,256,2,256,46083.6
1,0,1,0,1,256,8,256,134102.0
0,1,1,0,1,128,32,256,46129.8
0,1,0,0,0,64,2,4096,46154.0
0,1,0,0,0,256,8,4096,46102.0
0,1,1,0,1,128,32,4096,46577.6
0,1,0,0,1,128,8,1024,46124.2
1,1,1,0,0,64,8,256,130526.8
0,1,1,0,0,64,2,256,46338.6
0,1,1,0,0,64,8,256,45922.8
0,0,1,0,0,256,8,256,46381.6
0,1,1,0,0,64,8,256,45922.8
0,1,0,0,0,256,8,256,46335.6
0,1,1,0,0,64,8,4096,46121.6
0,1,1,0,0,128,8,256,46214.6
