WindowSize,CompressionLevel,Performance
16,6,5.77
18,9,11.954
12,10,328.816
15,8,6.738
24,1,1.57
19,3,2.552
11,3,2.476
14,9,7.404
16,3,2.508
12,9,6.47
13,5,4.128
22,0,1.596
14,3,2.302
20,2,2.088
20,7,12.338
11,6,3.57
21,8,18.874
12,3,2.426
18,9,11.954
14,7,5.896
20,1,1.636
20,7,12.338
12,4,3.004
20,5,7.45
14,3,2.302
14,9,7.404
13,3,2.37
23,3,2.478
17,2,2.102
10,3,2.616
12,1,1.542
17,3,2.564
16,4,2.77
13,1,1.514
13,4,2.972
24,10,392.744
13,5,4.128
12,5,3.746
23,7,20.474
20,2,2.088
22,1,1.586
20,0,1.63
13,5,4.128
20,3,2.546
17,1,1.612
17,7,7.636
18,0,1.628
13,10,313.652
24,0,1.574
20,0,1.63
18,0,1.628
14,0,1.472
17,6,6.34
12,0,1.528
23,1,1.572
22,2,2.05
12,3,2.426
18,0,1.628
12,5,3.746
22,1,1.586
14,1,1.46
23,1,1.572
23,9,63.68
20,0,1.63
24,9,108.602
13,0,1.514
13,7,5.554
14,11,301.078
18,1,1.63
17,0,1.606
13,6,4.3
12,1,1.542
18,1,1.63
12,7,5.266
14,0,1.472
13,7,5.554
10,1,1.666
12,1,1.542
13,1,1.514
12,1,1.542
21,0,1.604
17,1,1.612
22,0,1.596
23,1,1.572
11,0,1.526
14,1,1.46
14,1,1.46
13,1,1.514
12,11,328.552
12,7,5.266
14,1,1.46
13,11,315.078
13,0,1.514
14,1,1.46
13,0,1.514
10,1,1.666
14,1,1.46
14,4,2.894
13,7,5.554
11,1,1.526
