topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,10,4,10,1,0,1,1000,1024,10000,5,0,0.0146076152425
4,1,4,1000000,1,0,1000,1000,512,10000,2,29,8.98762567356e-05
4,1,4,1000000,1,0,1,1000,512,10000,2,29,0.00188876315291
4,10,4,10,1,1,1000,1000,1024,10000,2,29,0.73716914303
2,10,2,1000000,1,0,1000,10,512,100,5,29,0.00165045489642
4,10,4,10,1,1,1000,10,1024,100,2,29,0.721348198321
4,10,2,1000000,1,0,1000,1000,512,10000,2,0,0.000182476036403
4,1,2,10,10,0,1000,10,1024,100,2,0,0.562023468597
4,1,4,10,10,1,1000,1000,512,10000,5,29,0.184939462894
2,10,4,10,1,1,1,1000,512,10000,5,29,0.0151400639756
4,1,2,10,10,0,1000,10,1024,100,2,29,0.541828546061
2,1,4,10,1,0,1,1000,512,10000,5,0,0.0150801464711
2,10,2,10,10,0,1,10,512,100,2,0,0.149543197116
4,1,2,1000000,1,0,1,1000,1024,10000,5,29,0.000616877943958
2,1,4,1000000,1,0,1,1000,1024,10000,5,29,0.000826589209674
4,1,2,1000000,1,0,1000,10,512,100,5,29,0.000152517284157
4,10,4,1000000,10,1,1000,10,1024,100,5,29,0.000200178935457
4,1,2,1000000,1,1,1,10,512,100,5,29,0.000671348402586
4,10,2,1000000,10,0,1,1000,512,10000,5,29,0.000615516182492
4,1,4,1000000,1,1,1,10,512,100,5,29,0.000832036255537
4,1,2,1000000,1,0,1000,1000,512,10000,2,0,0.000168858421746
4,1,4,1000000,1,1,1,10,512,100,2,29,0.00190782781343
4,1,2,1000000,1,1,1,10,512,100,2,29,0.00321239529757
4,1,2,1000000,1,0,1,1000,1024,10000,5,29,0.000616877943958
4,10,2,1000000,1,0,1,10,512,100,5,29,0.000905571374685
4,10,2,1000000,10,0,1,1000,512,10000,2,0,0.00613065011854
4,10,4,1000000,10,1,1000,10,1024,100,5,29,0.000200178935457
4,10,2,10,1,0,1000,10,1024,100,5,29,0.196131780381
4,1,2,1000000,1,0,1,1000,1024,10000,2,29,0.00330499507723
4,10,4,1000000,1,1,1,10,1024,100,5,29,0.000864718530714
4,1,2,1000000,1,0,1000,1000,1024,10000,5,29,8.17056879415e-06
4,1,2,1000000,1,0,1,10,512,100,5,29,0.000644113173272
4,10,2,1000000,1,0,1000,1000,512,10000,2,0,0.000182476036403
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
2,1,2,1000000,1,0,1000,1000,512,10000,5,29,4.49381283678e-05
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,1,2,1000000,1,0,1000,1000,512,10000,2,0,0.000168858421746
2,10,2,1000000,1,0,1000,1000,512,10000,5,29,0.000175667229074
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,1,2,10,1,0,1000,1000,512,10000,5,29,0.235824403583
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,10,2,1000000,1,0,1000,1000,512,10000,5,29,0.0001388996695
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,1,2,1000000,1,0,1000,1000,1024,10000,5,29,8.17056879415e-06
4,1,2,10,1,0,1000,1000,512,10000,5,29,0.235824403583
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
2,1,2,1000000,1,0,1000,1000,512,10000,5,29,4.49381283678e-05
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,1,2,1000000,1,0,1,1000,512,10000,5,29,0.000742159998802
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,1,2,10,1,0,1000,1000,512,10000,5,29,0.235824403583
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,1.49793761226e-05
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,1.49793761226e-05
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,1,2,10,1,0,1000,1000,512,10000,5,29,0.235824403583
2,1,2,1000000,1,0,1000,1000,512,10000,5,29,4.49381283678e-05
4,1,2,1000000,1,0,1000,1000,1024,10000,5,29,8.17056879415e-06
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,1,2,1000000,1,0,1000,1000,1024,10000,5,29,8.17056879415e-06
4,1,4,1000000,1,0,1000,1000,1024,10000,5,29,1.36176146569e-05
4,1,4,1000000,1,0,1000,1000,1024,10000,5,29,1.36176146569e-05
4,1,2,1000000,1,1,1000,1000,1024,10000,5,29,1.7702899054e-05
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,1.49793761226e-05
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,1.49793761226e-05
4,1,2,1000000,1,0,1000,1000,1024,10000,5,29,8.17056879415e-06
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,1.49793761226e-05
4,1,2,1000000,1,0,1000,1000,1024,10000,5,29,8.17056879415e-06
4,1,2,1000000,1,0,1000,1000,1024,10000,5,29,8.17056879415e-06
4,1,2,1000000,1,0,1000,1000,1024,10000,5,29,8.17056879415e-06
4,1,2,10,1,1,1000,1000,1024,10000,5,29,0.232227991552
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,1.49793761226e-05
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,1.49793761226e-05
4,1,2,1000000,1,0,1000,1000,1024,10000,5,29,8.17056879415e-06
4,1,2,1000000,1,1,1000,1000,1024,10000,5,29,1.7702899054e-05
4,10,2,1000000,1,0,1000,1000,1024,10000,5,29,3.5405798108e-05
4,1,2,1000000,1,0,1,1000,512,10000,5,29,0.000742159998802
4,1,2,1000000,1,0,1,1000,1024,10000,5,29,0.000616877943958
4,1,2,10,1,0,1000,1000,1024,10000,5,29,0.231713245718
4,1,2,10,1,0,1000,1000,1024,10000,5,29,0.231713245718
4,1,2,1000000,1,0,1000,1000,1024,10000,5,29,8.17056879415e-06
4,1,4,1000000,1,0,1000,1000,1024,10000,2,29,0.00218018010657
