new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
1,2,1,1,0,0,1,1,1,1,119.39
3,3,3,1,1,0,1,1,0,1,70.892
2,3,2,0,1,0,0,0,1,1,75.004
4,3,3,1,0,1,1,0,1,1,42.452
4,1,3,1,0,1,1,0,1,0,24.142
3,1,2,0,0,0,1,0,0,1,32.2
4,3,2,0,0,1,1,1,1,0,44.462
3,3,2,0,1,1,1,1,1,1,61.584
4,3,2,1,1,1,1,0,1,1,41.228
4,1,2,0,1,1,1,0,1,0,24.09
3,3,1,1,1,1,0,1,1,0,52.14
4,1,1,0,0,0,0,0,1,0,23.526
1,3,3,1,0,0,1,0,1,0,152.032
4,3,3,1,0,1,0,0,1,0,38.576
1,1,3,1,0,1,0,1,1,0,88.234
4,2,3,1,1,0,0,0,1,1,29.14
3,2,2,0,1,1,1,1,1,0,45.652
4,1,2,1,1,1,0,0,0,0,22.626
2,1,2,1,0,1,0,0,0,1,43.58
2,3,1,0,1,1,0,0,0,1,86.516
4,1,3,1,0,1,1,0,1,0,24.142
4,3,2,1,0,0,1,0,1,0,42.006
4,3,2,1,1,1,1,0,1,1,41.228
3,1,3,1,0,1,0,0,1,0,30.732
4,2,3,1,0,1,1,0,1,0,31.842
4,1,2,0,0,1,1,0,1,0,24.594
3,1,2,1,0,1,0,0,1,0,30.136
4,1,3,1,0,1,1,0,1,0,24.142
4,2,3,1,1,0,1,0,1,0,31.274
4,1,3,1,0,0,0,0,1,1,23.66
4,1,1,1,0,0,0,0,1,0,22.452
4,3,3,1,0,0,1,0,0,0,48.636
3,1,3,1,0,0,0,0,1,1,30.622
3,1,1,1,0,0,0,0,1,0,29.42
4,1,2,1,1,0,0,0,1,1,22.29
4,1,2,1,1,1,0,0,1,0,22.854
4,1,3,0,0,1,1,0,1,0,25.768
4,2,2,0,0,1,0,0,1,0,30.662
4,1,2,1,1,0,0,0,1,1,22.29
4,1,3,1,1,0,0,0,1,0,23.06
4,1,3,1,0,0,0,1,1,1,23.704
2,1,2,0,1,1,0,0,1,1,45.44
4,1,1,0,0,0,0,0,1,0,23.526
4,1,3,1,0,0,0,0,1,1,23.66
4,1,3,1,0,1,0,0,0,0,23.6
4,2,2,1,1,0,1,0,1,0,30.84
4,1,1,0,1,0,0,0,1,0,23.434
4,1,2,1,1,1,0,0,1,0,22.854
4,1,2,1,1,1,0,0,1,0,22.854
4,1,2,0,1,0,1,0,0,0,24.13
4,1,1,1,1,0,1,0,1,0,79.142
4,1,2,0,1,1,0,0,1,0,23.964
4,1,3,1,0,0,0,0,0,0,23.864
4,1,1,0,0,0,1,0,1,0,23.776
4,1,2,1,0,0,0,0,0,0,22.874
4,1,2,1,1,0,0,0,0,0,22.312
4,1,2,0,1,0,0,0,1,1,23.884
4,1,2,1,1,0,0,0,1,1,22.29
4,1,1,1,0,1,0,0,1,0,22.138
4,3,1,1,0,0,0,0,1,1,37.192
4,1,2,1,1,0,0,0,0,1,22.34
4,2,2,1,1,0,0,0,1,1,28.638
4,1,1,0,1,0,0,0,1,0,23.434
4,1,2,1,1,0,0,0,1,0,22.394
4,1,2,1,1,1,0,0,1,1,22.452
4,1,2,1,1,0,0,0,1,1,22.29
4,1,1,1,1,0,0,0,1,1,21.586
4,1,2,1,1,0,0,0,0,1,22.34
4,1,2,0,1,0,0,0,1,1,23.884
4,1,2,1,1,0,0,0,1,0,22.394
4,1,2,1,0,0,0,0,1,0,23.148
4,1,2,0,0,1,0,0,0,0,24.438
4,1,2,1,1,0,0,0,1,1,22.29
4,1,2,1,1,0,0,0,0,1,22.34
4,1,1,1,0,0,0,0,1,1,22.248
4,3,1,1,0,1,0,0,1,0,37.184
4,1,2,1,1,0,0,0,1,1,22.29
4,1,2,1,1,0,0,0,0,1,22.34
4,1,2,1,1,0,0,0,0,0,22.312
4,1,2,1,1,0,0,0,1,0,22.394
4,1,2,1,1,0,0,0,1,1,22.29
4,1,1,1,0,0,0,0,1,0,22.452
4,1,2,1,1,0,0,0,1,1,22.29
4,1,2,1,0,0,1,0,1,1,23.184
4,1,2,1,1,1,0,0,1,1,22.452
4,1,1,1,1,0,0,0,1,1,21.586
4,1,2,1,1,0,0,0,0,1,22.34
4,1,2,1,1,0,0,0,1,1,22.29
4,1,2,1,1,0,0,0,1,0,22.394
4,1,1,1,0,0,0,0,0,1,22.254
4,1,2,1,1,0,0,0,0,1,22.34
4,1,1,1,0,1,0,0,0,0,22.142
4,1,2,1,1,0,0,0,1,1,22.29
4,1,2,1,1,0,0,0,0,0,22.312
4,1,1,1,0,1,0,0,1,0,22.138
4,1,1,1,1,0,1,0,1,1,21.772
4,1,1,1,0,0,0,0,1,0,22.452
4,1,1,1,0,1,0,0,0,0,22.142
4,1,1,1,0,1,0,0,1,0,22.138
4,1,1,1,1,1,0,0,0,0,21.678
