new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,1,1,0,1,80,512,0,8905.8
1,0,1,0,1,50,256,8,101224.6
4,1,0,0,1,70,64,8,39311.6
1,0,1,0,0,60,4,8,81367.8
4,0,1,1,0,80,32,10,414710.8
1,0,0,1,0,80,2048,10,103021.6
5,0,1,0,1,40,256,4,9104.8
2,1,0,0,1,90,2,4,12824.6
3,0,1,1,1,80,2,0,13244.2
5,1,1,0,0,0,64,0,9185.6
1,0,0,0,0,100,32,10,99407.4
4,0,1,0,0,20,128,0,9120.2
5,1,0,1,1,50,128,10,301288.2
4,0,1,1,0,40,256,10,415334.4
3,1,0,0,0,70,16,4,12235.2
3,1,0,0,0,20,128,6,10909.8
5,0,1,0,0,30,1024,10,302188.8
1,0,0,1,0,20,4096,6,91723.0
5,1,1,0,0,70,128,4,9186.2
1,1,1,1,1,60,4096,0,17693.8
1,0,0,1,0,80,4,8,114168.8
1,0,0,0,0,40,16,4,11900.8
4,0,0,1,1,100,512,4,43715.2
4,0,0,0,0,70,2,6,26460.2
2,1,0,0,1,90,2048,4,4325.0
1,1,1,0,1,0,1024,0,17919.6
2,0,1,1,0,0,128,10,131579.0
5,1,0,1,0,80,64,4,9150.6
1,0,1,1,0,40,4096,0,17727.0
1,0,1,0,1,40,256,8,101444.2
1,1,1,1,0,10,1,8,125286.8
5,1,0,0,1,90,4096,8,121555.8
4,0,0,1,1,40,128,6,49287.6
2,1,0,1,0,100,1024,10,102609.2
2,0,1,1,0,30,16,2,17694.0
2,1,0,1,1,70,64,2,17644.0
5,1,1,0,0,90,64,6,47554.0
1,1,0,1,0,100,4,8,114156.4
2,0,1,1,0,80,16,10,105520.0
1,1,0,1,1,80,16,2,17833.2
1,1,0,0,1,50,8,8,86033.6
1,1,0,0,0,20,4,10,80972.0
4,1,0,1,0,40,2048,0,35611.0
2,0,0,0,1,70,2,6,73874.0
1,0,1,1,0,100,256,0,17760.0
5,0,1,1,1,80,1024,6,47631.8
3,0,1,0,1,10,2048,0,12435.4
5,1,1,0,1,90,64,2,9130.6
1,0,1,0,0,100,8,0,17699.0
5,0,0,0,1,40,4096,8,122383.8
3,1,0,0,1,100,8,2,12627.6
5,1,1,0,0,20,64,2,9156.6
4,0,0,0,1,20,1,0,10105.4
4,1,0,1,1,40,1,8,123559.8
3,0,0,0,0,0,512,2,15997.6
1,0,0,0,0,70,8,2,17683.6
3,0,1,0,0,100,1,10,50220.4
4,1,1,0,0,100,1024,0,8889.8
1,0,0,1,1,0,4096,8,131676.2
5,1,1,1,1,40,512,4,9139.8
1,0,0,1,0,30,16,6,93312.4
3,0,1,1,0,0,16,2,16079.2
5,1,0,0,1,40,2,8,120976.2
4,0,0,0,0,100,16,2,9043.4
3,1,0,1,0,0,2,10,48340.0
3,1,1,0,1,100,512,10,48488.4
3,0,0,0,1,80,256,4,12146.2
3,0,1,0,1,10,256,6,11760.8
3,1,1,1,0,30,128,4,12268.8
2,1,0,0,1,20,8,10,86297.6
3,1,0,1,1,50,64,8,38055.2
5,0,1,0,1,80,1024,0,9164.6
2,1,1,0,0,70,128,6,84604.6
4,0,0,0,0,0,128,6,27524.2
3,0,0,1,0,20,4096,2,12182.8
5,0,1,0,1,70,4,10,300492.6
3,1,0,1,0,90,128,10,48264.6
4,1,0,1,1,30,16,6,49115.8
3,0,1,0,1,70,64,4,12210.0
2,0,1,0,0,40,1024,2,4850.8
5,1,1,0,0,90,256,10,303175.6
2,0,0,0,1,100,1,6,78870.2
2,1,1,0,1,10,512,10,99607.0
4,1,0,0,1,0,8,8,75920.6
4,1,0,1,0,60,4,10,416063.0
1,1,0,1,1,20,2,6,107137.2
1,1,1,1,1,0,4096,0,18037.4
4,1,0,0,0,0,128,4,22098.0
3,1,0,0,0,60,512,6,10534.6
5,0,1,1,0,40,8,8,121808.6
2,0,0,1,1,0,512,10,131420.2
3,0,0,1,1,90,128,2,12150.4
2,0,0,1,0,100,8,2,17648.8
1,0,1,0,0,70,16,2,17635.2
2,0,0,0,1,80,32,2,4733.4
5,0,0,0,1,20,256,8,121762.0
1,0,1,0,0,20,4096,2,17680.2
2,1,1,1,0,60,256,8,102667.4
5,0,0,0,1,90,2048,10,301351.0
5,0,0,0,1,100,128,8,122373.0
