new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,2,2,1,1,1,512,9,164.981
0,0,2,2,0,0,2048,1,337.4748
1,0,2,0,1,0,4096,5,337.4748
0,2,2,2,0,0,4096,1,166.6618
0,2,2,2,0,1,4096,0,337.4748
0,2,2,2,1,1,1024,5,165.17
0,1,2,1,0,0,4096,0,32.8414
0,1,2,2,0,0,4096,0,31.4676
1,1,2,1,1,0,512,9,337.4748
1,2,2,0,1,1,512,0,337.4748
1,2,2,2,1,1,2048,5,166.1056
1,2,2,1,0,1,512,5,165.5166
0,0,2,0,0,0,4096,1,337.4748
1,2,2,2,1,1,512,5,163.3302
0,1,2,0,0,0,1024,1,337.4748
1,0,1,1,1,0,4096,1,337.4748
1,2,2,1,0,1,4096,1,166.9868
1,1,1,1,1,1,2048,1,337.4748
0,1,1,2,0,1,512,5,337.4748
0,2,1,1,1,0,512,9,337.4748
0,0,2,0,0,0,1024,1,337.4748
1,0,2,1,0,1,4096,5,337.4748
0,2,1,2,1,1,1024,9,337.4748
0,2,1,0,0,0,1024,0,337.4748
0,0,2,2,1,1,512,1,337.4748
0,2,1,1,1,0,1024,1,337.4748
1,1,1,2,0,1,2048,9,337.4748
0,0,2,0,1,1,4096,5,337.4748
1,1,1,0,0,0,1024,5,337.4748
0,2,1,0,0,0,512,0,337.4748
0,2,2,2,0,0,512,9,164.3146
0,0,1,0,0,0,4096,5,337.4748
0,2,2,1,0,0,4096,9,165.1006
1,2,1,1,0,1,4096,1,337.4748
1,0,2,2,1,1,1024,0,165.9748
0,1,1,2,1,0,1024,0,337.4748
0,1,2,2,1,1,1024,9,337.4748
0,0,2,2,0,0,4096,5,337.4748
0,0,1,1,1,0,4096,0,337.4748
0,2,1,0,1,0,4096,0,337.4748
1,1,2,0,0,0,512,1,337.4748
1,2,1,2,1,0,2048,0,337.4748
0,2,2,1,0,1,2048,9,165.4474
0,0,2,2,1,0,2048,0,164.9596
1,1,1,2,1,1,1024,5,337.4748
1,1,2,1,0,1,4096,5,337.4748
1,1,1,0,1,1,2048,9,337.4748
1,2,2,0,1,0,2048,0,337.4748
0,1,2,1,0,1,512,9,337.4748
0,0,2,2,0,1,512,1,337.4748
0,2,1,2,0,1,512,0,337.4748
0,2,1,0,0,1,4096,0,337.4748
1,0,2,1,1,1,512,9,337.4748
0,2,1,0,1,1,2048,5,168.1578
0,1,2,1,1,1,512,9,337.4748
1,1,1,2,0,0,1024,1,337.4748
0,0,2,1,0,0,1024,1,337.4748
1,0,2,2,0,1,2048,5,337.4748
0,1,1,0,1,1,1024,0,32.7334
0,1,2,2,1,0,4096,0,31.3372
1,0,2,1,1,1,1024,9,337.4748
0,0,2,0,1,0,4096,0,164.9116
0,0,1,1,1,1,1024,0,337.4748
0,0,1,0,0,0,4096,5,337.4748
0,0,2,2,1,0,1024,5,337.4748
0,1,1,2,0,1,1024,0,337.4748
1,0,1,1,1,0,2048,5,337.4748
0,1,1,1,1,0,1024,1,337.4748
0,2,2,1,1,1,2048,1,166.2642
0,1,2,0,1,1,1024,9,337.4748
0,2,1,2,1,0,1024,0,337.4748
1,0,2,1,1,1,2048,9,337.4748
1,1,2,1,1,1,4096,5,337.4748
1,2,1,0,1,1,4096,9,166.8736
1,2,1,2,0,1,2048,5,337.4748
0,2,1,1,1,1,1024,1,337.4748
0,1,1,2,0,1,2048,1,337.4748
0,1,1,1,1,1,512,9,337.4748
1,1,1,0,1,0,1024,5,337.4748
0,1,2,0,1,1,2048,0,32.3634
0,1,2,1,0,1,1024,1,337.4748
1,1,2,0,0,0,2048,9,337.4748
0,0,2,2,0,0,2048,5,337.4748
0,1,1,1,1,1,512,5,337.4748
1,0,1,0,0,0,1024,9,337.4748
1,2,1,0,0,0,1024,9,166.3772
1,1,2,1,1,1,4096,5,337.4748
0,0,2,2,0,0,512,5,337.4748
1,0,1,1,1,0,2048,0,337.4748
1,1,1,0,0,1,2048,0,33.0006
1,1,1,1,0,0,4096,9,337.4748
1,2,1,1,1,1,1024,0,337.4748
1,2,1,0,0,0,512,5,166.6294
1,0,1,1,1,1,2048,5,337.4748
1,2,2,0,1,0,4096,5,164.9454
0,0,1,1,0,1,512,1,337.4748
0,1,2,0,1,0,1024,9,337.4748
1,0,1,1,0,1,4096,1,337.4748
0,1,1,0,1,1,4096,5,337.4748
0,1,1,1,0,0,1024,0,337.4748
