ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,86101.6
0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,59182.0
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,79470.6
0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,75319.2
0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,75194.4
0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,61790.0
0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,74999.8
1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,81930.2
1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,72968.0
0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,77561.0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59726.6
1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,87075.6
1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,87064.4
1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,80618.6
0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,76598.4
1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,87105.2
1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,60816.4
1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,74709.2
0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,90240.4
0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,65389.6
1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,79571.8
1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,92205.0
0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,79417.8
0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,78788.8
1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,91860.0
1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,76089.4
0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,65092.4
1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,93184.8
0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,89979.6
1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,68732.0
0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,87205.2
1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,88120.4
1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,82211.2
1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,84288.6
0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,89990.0
1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,68966.0
0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,73281.4
0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,96359.6
0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,68675.2
1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,74025.2
1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,79670.6
0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,93736.8
0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,90524.8
1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,71444.8
0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,92381.0
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,80217.4
0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,61399.2
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,96143.8
1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,80930.0
0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,70342.6
1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,96720.4
0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,68742.8
1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,69853.6
0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,92215.4
1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,75859.2
1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,86442.8
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,61878.0
1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,84219.8
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,66456.0
0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,87354.8
0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,82005.2
1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,75305.2
1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,77891.6
0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,65247.8
1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,66454.6
1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,84562.6
1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,71602.0
1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,85469.8
1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,86287.4
0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,70352.8
1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,86136.4
0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,72445.4
0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,69208.0
0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,87765.6
1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,72124.2
0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,71423.6
1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,89992.8
1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,75689.4
1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,77791.2
0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,88454.2
1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,72558.2
1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,91723.8
0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,67942.4
0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,79260.4
1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,86480.2
1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,84958.0
1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,76077.0
0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,80453.6
1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,75349.2
0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,59002.0
1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,85972.6
0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,69297.8
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,79860.0
