fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,1,0,1,128,2,4096,46615.0
1,1,0,0,1,128,32,4096,133873.0
0,1,0,1,0,128,8,4096,46586.4
0,0,1,1,1,256,8,256,46788.6
1,0,0,1,1,128,8,4096,133106.0
0,1,0,0,0,128,8,256,46318.0
1,1,1,0,1,256,32,256,129297.0
1,1,0,0,1,128,8,256,137657.6
1,1,1,0,1,64,8,256,132169.4
0,1,1,1,0,256,8,4096,47064.8
1,1,1,0,0,128,8,4096,128931.4
0,1,1,1,0,64,8,4096,46771.0
0,0,0,0,0,256,2,256,46207.6
1,0,1,1,0,256,32,256,140016.8
1,1,0,1,0,128,8,4096,132048.8
1,0,1,0,0,256,32,256,136622.0
0,0,0,0,1,256,2,1024,46354.2
0,1,0,1,0,128,8,256,46439.6
1,1,1,0,0,64,32,1024,134439.4
0,1,0,1,0,64,8,1024,46348.8
0,0,0,0,1,256,32,1024,46176.6
1,1,1,1,1,64,32,256,132168.8
1,0,0,1,1,64,8,4096,134738.4
1,0,1,0,1,256,8,4096,136736.2
0,0,0,1,0,128,8,4096,46352.2
1,1,1,1,1,256,2,4096,127524.8
0,0,0,1,0,256,8,256,46388.8
0,0,1,1,1,256,2,256,46651.4
1,0,0,1,0,256,8,1024,132022.4
0,1,0,0,0,128,8,4096,46379.2
1,1,0,0,0,128,32,1024,133666.2
0,1,1,0,1,128,32,4096,46577.6
0,1,1,1,0,256,32,256,46431.0
1,1,0,0,1,64,8,256,134080.8
1,0,0,1,0,64,8,256,133164.4
1,0,0,1,0,256,2,256,131727.4
1,1,1,0,0,128,2,4096,133944.0
1,1,0,1,1,64,32,256,135693.6
0,1,0,0,0,64,2,1024,46111.6
0,1,1,0,0,64,2,256,46338.6
1,0,1,0,1,128,8,256,136260.8
1,0,0,0,0,128,8,1024,130750.8
0,0,1,0,1,256,32,4096,47000.2
1,0,1,1,0,128,32,1024,138660.8
1,0,0,0,0,64,32,256,129289.6
0,1,1,0,0,256,2,256,46407.8
0,0,1,1,1,256,32,256,46605.0
0,1,1,1,0,64,8,256,46687.4
0,1,0,1,0,64,2,4096,46433.0
0,0,0,0,0,256,32,256,46275.0
0,0,1,1,1,256,8,4096,46812.0
1,0,0,0,1,256,2,1024,130366.8
1,0,1,1,0,256,8,4096,135527.8
0,1,1,0,1,64,32,256,46325.8
1,1,1,0,1,256,2,4096,132488.4
1,0,0,1,1,128,2,4096,134644.0
1,1,1,1,1,64,2,4096,132912.2
1,0,0,1,1,64,2,4096,133870.0
1,1,1,1,0,128,8,4096,129330.0
0,0,1,0,1,256,8,4096,46508.6
0,1,0,1,0,256,2,256,46594.4
1,1,1,1,1,256,2,4096,127524.8
0,0,1,0,1,64,8,4096,46345.6
0,0,0,1,0,64,2,4096,46738.0
1,1,0,0,0,64,2,4096,130337.2
0,0,0,0,0,64,8,256,46297.6
0,0,1,1,0,128,2,1024,46881.4
1,0,1,1,0,256,8,256,139655.8
1,0,0,0,0,64,32,4096,131737.4
1,0,1,0,0,64,32,1024,134519.0
1,1,1,0,0,128,8,1024,133603.0
0,1,0,0,1,256,8,1024,46358.2
1,0,1,0,1,128,32,4096,138524.6
1,0,0,0,1,64,32,4096,128417.8
0,0,1,0,1,64,32,1024,46132.6
0,1,1,0,1,64,32,1024,46469.6
1,0,0,1,0,64,8,256,133164.4
1,0,0,1,1,64,32,256,134738.8
0,0,0,0,0,128,32,256,46255.0
0,1,1,1,1,256,8,256,46778.4
0,1,1,0,1,128,2,256,46285.6
1,1,0,1,0,64,32,1024,132685.0
0,1,0,0,0,64,32,1024,46224.0
1,1,0,0,0,64,32,256,132467.8
0,1,0,0,1,128,2,4096,46277.6
0,1,1,0,1,64,32,256,46325.8
0,0,0,1,1,256,2,1024,46274.2
1,1,0,0,0,64,2,256,132203.8
0,1,1,1,1,128,2,256,46463.2
0,1,1,0,0,128,32,256,46144.0
0,1,0,1,1,64,32,1024,46378.6
0,1,0,0,1,256,2,4096,46310.8
0,0,0,1,0,256,2,4096,46365.8
0,0,0,1,1,64,8,1024,47331.0
0,1,0,1,0,64,2,256,46355.4
0,1,1,0,1,64,2,1024,46614.4
0,1,1,1,1,256,8,4096,46925.4
0,0,1,1,1,128,32,1024,46659.6
1,1,0,1,0,64,8,1024,132315.2
0,1,1,0,1,128,2,4096,46615.0
