WindowSize,CompressionLevel,Performance
12,10,328.816
23,3,2.478
18,10,279.698
13,8,5.62
17,4,2.848
14,7,5.896
21,4,2.768
18,5,6.714
18,8,9.684
17,1,1.612
15,0,1.534
16,8,7.548
23,1,1.572
21,3,2.512
23,8,37.284
24,8,38.644
16,6,5.77
21,3,2.512
14,5,4.678
10,11,363.346
16,1,1.598
21,4,2.768
21,0,1.604
13,5,4.128
11,7,5.078
10,6,3.386
16,8,7.548
14,0,1.472
10,7,4.874
13,11,315.078
18,5,6.714
18,3,2.562
17,8,8.454
19,0,1.614
16,8,7.548
10,9,6.246
15,7,6.39
11,1,1.526
15,7,6.39
17,2,2.102
17,2,2.102
10,8,5.046
21,6,10.46
19,3,2.552
12,10,328.816
21,5,7.272
12,1,1.542
18,2,2.094
19,5,7.372
17,2,2.102
19,1,1.604
20,5,7.45
18,11,279.692
17,1,1.612
11,2,1.998
19,1,1.604
10,0,1.662
23,2,2.032
19,0,1.614
10,8,5.046
13,5,4.128
11,8,5.042
15,7,6.39
22,9,34.292
22,10,256.21
22,7,19.626
11,4,3.04
12,2,1.988
10,10,363.364
14,3,2.302
16,5,5.392
19,6,9.336
12,8,5.318
21,5,7.272
22,8,25.432
15,9,8.084
14,6,4.874
14,0,1.472
13,2,1.942
19,10,258.558
12,5,3.746
21,6,10.46
11,0,1.526
20,3,2.546
14,2,1.9
18,8,9.684
19,2,2.1
20,10,246.512
16,7,6.998
20,7,12.338
15,6,5.306
13,1,1.514
17,4,2.848
17,2,2.102
12,4,3.004
11,7,5.078
12,10,328.816
19,1,1.604
16,5,5.392
15,8,6.738
