topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,10,2,1000000,1,1,1000,1000,1024,10000,5,29,1.49793761226e-05
2,10,4,10,10,0,1000,10,1024,100,5,29,0.320329873097
4,1,2,10,10,1,1000,1000,512,10000,2,0,0.518803883199
2,1,4,10,1,1,1,1000,1024,100,5,0,2.0
4,10,2,10,10,0,1000,1000,1024,100,2,29,2.0
4,10,4,10,1,1,1,1000,512,100,2,29,2.0
2,1,4,1000000,10,0,1000,1000,512,100,2,29,2.0
2,10,4,10,10,0,1000,1000,512,10000,5,0,0.333326524526
2,10,2,10,1,0,1,10,512,100,5,29,0.0147791971871
2,1,4,10,1,1,1000,1000,512,100,2,0,2.0
2,10,2,10,1,1,1000,1000,512,100,2,0,2.0
2,1,4,1000000,1,0,1,1000,1024,100,2,29,2.0
4,10,4,10,1,1,1000,1000,512,100,2,0,2.0
2,1,2,10,10,0,1,1000,512,100,2,0,2.0
2,10,2,1000000,10,1,1,1000,512,100,5,29,2.0
4,10,2,10,1,0,1000,10,512,100,5,0,0.204465760551
2,10,2,1000000,1,0,1000,1000,1024,100,2,29,2.0
2,1,4,1000000,1,0,1,1000,512,10000,5,0,0.000769395228115
2,10,4,10,1,0,1000,1000,512,10000,5,0,0.297028772658
4,1,4,10,1,0,1,10,512,10000,5,0,2.0
4,10,2,10,10,0,1,10,512,100,2,0,0.142641790008
2,1,2,10,10,0,1,10,512,100,5,29,0.14065498003
4,10,2,10,10,1,1000,10,512,100,2,29,0.52450013141
4,10,2,10,1,1,1,10,1024,100,2,29,0.0146893209304
2,1,2,10,1,1,1,10,512,100,2,29,0.0152435578469
4,1,4,1000000,10,1,1,1000,1024,10000,2,0,0.00529452857861
2,1,2,10,10,1,1000,10,512,100,2,0,0.732797888725
4,10,2,10,1,0,1000,10,1024,10000,5,0,2.0
2,1,2,1000000,1,1,1,1000,1024,10000,2,29,0.0013495056125
4,1,2,1000000,10,1,1000,10,512,10000,2,29,2.0
4,10,2,10,10,0,1000,10,512,10000,2,29,2.0
2,10,4,1000000,10,0,1000,10,1024,10000,2,29,2.0
4,10,4,10,1,1,1,1000,512,10000,2,0,0.0144373950593
2,10,2,1000000,1,1,1,10,1024,10000,5,29,2.0
2,10,4,10,10,0,1000,1000,512,10000,5,29,0.34149709332
2,1,2,10,1,0,1,10,1024,100,2,29,0.0147315355358
4,1,4,10,10,1,1000,10,1024,10000,2,0,2.0
2,10,2,10,10,0,1,1000,512,10000,2,0,0.148562728861
2,10,2,10,10,1,1000,10,1024,100,2,0,0.778427791917
4,10,2,1000000,10,1,1000,10,1024,100,2,29,2.0
2,10,2,1000000,1,0,1,10,1024,10000,2,29,2.0
2,1,2,10,1,0,1000,1000,1024,10000,2,0,0.832051234913
4,10,2,1000000,10,0,1,1000,512,100,5,29,2.0
4,1,2,1000000,1,0,1000,1000,1024,100,2,0,2.0
2,1,4,1000000,1,1,1000,10,512,10000,5,29,2.0
2,10,4,1000000,1,1,1,1000,1024,100,2,0,2.0
4,1,4,10,1,0,1000,1000,1024,10000,2,29,0.719722255131
4,10,4,10,10,1,1000,1000,1024,100,2,29,2.0
2,1,4,1000000,10,1,1000,10,1024,10000,2,29,2.0
4,10,4,1000000,1,0,1,1000,512,10000,2,29,0.0023735502347
2,10,2,10,1,1,1000,10,512,100,5,29,0.275428512289
2,10,2,10,1,0,1000,10,512,100,5,0,0.273101261944
4,10,4,1000000,10,1,1,10,512,10000,5,29,2.0
4,1,4,10,10,1,1,1000,1024,10000,2,29,0.144574129528
4,1,4,1000000,10,1,1000,1000,1024,100,5,29,2.0
2,10,2,10,1,1,1,1000,1024,10000,2,0,0.0147737501413
4,10,4,1000000,1,1,1,1000,512,100,5,0,2.0
4,10,2,10,10,0,1000,1000,1024,10000,5,0,0.191567155948
4,1,2,1000000,1,1,1,1000,512,100,2,29,2.0
2,10,4,10,10,1,1,10,1024,100,5,29,0.133050904005
4,10,2,10,10,1,1000,1000,512,10000,2,0,0.505337424065
4,1,2,10,1,1,1,1000,1024,100,5,29,2.0
4,1,4,10,10,1,1,1000,1024,10000,5,29,0.0819317403448
4,10,2,1000000,10,0,1000,10,512,100,2,29,2.0
4,1,2,1000000,10,1,1,1000,1024,10000,2,0,0.00514882010178
4,1,2,1000000,1,1,1,1000,1024,100,5,29,2.0
4,1,2,1000000,10,0,1000,1000,512,10000,5,0,2.0
4,1,2,1000000,1,1,1000,1000,1024,10000,2,29,0.00125554407137
2,10,2,1000000,10,0,1,10,512,100,5,0,2.0
2,1,4,1000000,10,0,1000,10,1024,100,2,0,2.0
2,10,2,1000000,1,1,1000,1000,1024,100,5,0,2.0
4,1,4,1000000,10,1,1000,1000,512,10000,2,29,0.00121196770447
4,10,2,1000000,1,0,1,1000,1024,10000,2,0,0.00294821357322
2,1,4,10,10,0,1000,1000,1024,10000,5,29,0.31464588074
2,1,2,10,10,0,1,1000,512,10000,2,0,0.149115604016
4,10,4,1000000,10,0,1,1000,512,10000,2,29,2.0
2,1,2,1000000,10,0,1000,10,512,100,2,0,2.0
4,10,2,1000000,1,1,1000,1000,1024,100,2,0,2.0
2,10,2,1000000,10,1,1000,10,512,10000,5,29,2.0
4,1,2,1000000,10,1,1,1000,512,100,5,29,2.0
2,10,2,10,10,0,1,1000,512,100,2,29,2.0
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
4,1,2,1000000,1,0,1000,1000,512,100,5,29,2.0
4,1,2,10,1,0,1,1000,1024,100,5,0,2.0
2,1,2,10,10,1,1000,10,1024,100,5,0,0.321165994637
2,1,4,10,10,0,1,1000,512,10000,2,0,0.149856402253
2,1,2,10,1,0,1000,1000,1024,100,2,29,2.0
2,10,4,10,10,0,1000,1000,1024,10000,5,29,0.326084677051
4,10,2,1000000,1,1,1000,10,512,100,2,0,0.00716150354807
4,10,2,10,10,1,1000,10,1024,100,2,29,0.512553398071
2,1,2,1000000,1,0,1000,1000,1024,100,2,0,2.0
2,1,2,1000000,10,0,1,1000,512,10000,5,0,2.0
2,10,2,10,10,1,1,1000,1024,10000,2,0,0.14924905664
2,10,2,1000000,10,1,1000,10,512,10000,2,29,2.0
4,10,2,10,10,1,1,10,512,100,2,29,0.143687622814
2,10,4,1000000,1,1,1000,10,1024,10000,2,29,2.0
2,10,4,10,10,1,1,1000,1024,100,5,29,2.0
2,1,2,1000000,1,1,1,10,1024,10000,2,29,2.0
4,1,4,10,1,1,1,1000,512,10000,5,29,0.0143407099952
2,10,2,1000000,1,0,1000,10,512,10000,2,0,2.0
