new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,2,3,0,1,1,1,1,0,1,75.18
4,3,2,0,0,1,1,1,1,0,44.462
4,1,2,0,1,1,1,0,0,0,24.202
1,1,2,0,1,0,0,0,0,0,84.58
1,1,2,0,0,0,1,1,0,0,94.908
3,2,3,1,0,0,0,0,0,0,44.022
2,3,2,1,1,0,1,0,0,1,91.598
3,2,3,1,0,1,1,1,0,0,51.006
1,1,1,1,0,0,1,0,0,1,81.712
1,3,3,1,0,1,1,1,0,0,185.71
2,3,3,1,1,0,0,1,0,1,90.614
4,3,1,1,0,1,1,1,0,1,50.664
1,2,3,1,0,1,1,1,0,0,133.926
2,2,3,1,0,1,1,1,0,0,71.35
1,3,2,1,0,0,1,0,0,1,172.44
2,3,2,1,1,0,0,1,0,0,90.55
2,1,2,1,1,1,0,1,1,1,46.01
3,1,1,0,1,1,0,1,1,1,33.254
1,1,3,0,1,0,0,1,0,0,92.748
4,2,2,1,1,1,0,0,1,0,28.834
4,3,3,1,1,0,0,0,1,0,38.064
1,2,1,0,1,1,0,1,1,1,118.626
1,1,3,1,0,0,1,1,1,0,88.9
4,3,3,0,1,0,0,1,1,1,40.878
4,3,2,1,0,1,0,1,1,1,39.394
1,1,2,0,1,0,1,1,0,1,93.876
3,1,3,1,1,1,1,0,0,1,29.97
2,1,2,1,0,0,0,1,0,0,46.678
4,1,1,1,1,0,0,1,1,0,22.996
1,1,2,0,1,1,0,1,1,1,93.264
4,2,1,0,1,0,0,0,0,0,33.264
1,2,3,0,0,1,0,1,1,1,119.452
4,1,3,1,1,0,0,1,0,0,22.99
4,3,1,1,0,1,1,1,0,1,50.664
2,2,3,0,0,1,1,0,1,0,63.122
4,1,2,0,1,0,1,1,1,0,25.166
1,1,2,0,1,1,1,0,1,0,85.608
1,3,3,1,0,1,1,0,0,1,173.74
1,1,1,0,1,0,0,1,0,0,92.808
2,3,3,0,0,0,0,0,0,0,88.774
4,2,2,1,1,0,1,0,1,1,30.714
4,3,3,1,0,0,1,1,1,1,43.176
4,2,1,0,1,0,0,0,0,0,33.264
1,1,3,1,1,1,1,1,1,1,87.206
2,1,3,1,1,0,1,0,0,0,43.288
1,1,3,1,1,1,0,0,0,0,79.97
3,2,2,1,1,0,1,0,1,1,41.346
4,2,3,0,0,1,0,1,0,1,36.652
1,3,1,0,0,0,0,0,1,0,142.062
2,2,1,0,1,0,1,1,0,0,74.632
4,1,2,1,0,1,1,0,0,1,22.998
1,3,2,0,0,0,0,1,0,1,182.374
1,2,3,1,1,0,0,1,1,0,111.634
3,3,2,1,1,1,1,1,1,0,58.854
4,3,1,0,0,1,0,0,1,0,38.6
2,2,1,1,0,1,0,1,1,0,59.64
2,3,2,1,0,0,1,0,1,1,81.304
1,1,1,0,1,1,1,1,1,0,93.768
4,3,1,0,1,0,1,0,0,1,48.874
2,2,2,0,0,0,1,1,0,1,75.628
2,2,2,0,1,1,1,1,1,1,66.324
4,3,2,0,0,1,1,1,1,1,44.722
2,2,3,1,1,1,1,1,0,1,70.884
4,2,1,0,0,1,1,0,0,0,36.114
4,1,2,0,1,0,0,1,0,1,24.784
4,1,3,0,0,0,0,0,1,1,24.79
4,2,3,0,1,0,1,1,0,1,38.194
3,2,2,0,0,1,1,1,1,0,46.592
4,3,3,1,0,0,1,0,0,0,48.636
1,3,3,0,1,0,0,0,0,0,164.384
2,2,1,0,0,1,1,1,0,0,75.378
1,3,2,0,0,0,1,1,0,0,193.952
1,1,3,1,0,1,1,1,1,1,89.736
2,3,1,1,0,1,1,1,1,0,84.682
4,2,2,0,1,0,0,1,1,0,31.61
2,3,3,1,0,1,1,1,1,0,84.698
1,1,3,0,0,1,0,1,1,1,94.792
3,1,3,1,1,0,0,0,1,1,29.71
2,3,1,1,1,0,0,0,1,0,71.694
4,2,3,0,0,0,1,1,0,1,38.73
4,2,3,0,0,0,1,1,0,0,38.168
1,1,2,1,0,1,0,0,1,1,81.248
1,3,3,0,0,0,1,0,1,1,157.238
1,3,3,1,0,1,1,1,1,1,159.606
1,1,2,1,0,0,1,0,1,0,82.336
4,2,2,0,1,0,1,1,1,1,33.622
3,1,3,1,0,1,0,0,0,0,30.83
2,1,2,1,0,1,1,0,1,1,44.094
2,2,3,1,0,1,1,0,0,0,67.166
2,2,2,1,0,1,0,1,1,1,59.654
3,2,1,0,1,0,1,1,1,0,45.962
2,1,2,1,0,1,0,0,1,0,43.598
4,2,3,1,0,1,0,1,1,0,30.244
3,1,3,1,1,0,0,0,1,0,29.896
1,2,2,1,0,1,1,0,0,1,125.044
3,3,1,1,0,1,0,0,0,1,58.34
3,3,2,1,1,1,0,1,0,1,63.334
2,3,2,1,0,0,1,0,1,0,81.306
2,2,2,0,0,0,1,0,1,0,63.17
3,3,1,0,1,0,1,0,1,1,58.066
