new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
5,0,1,1,1,60,1024,8,122932.6
4,1,0,1,0,60,1024,8,124488.2
2,0,0,0,0,60,1024,10,101532.2
4,1,0,1,1,60,1024,6,49327.6
3,0,0,0,1,80,1024,10,48642.6
3,0,0,1,1,50,16,10,48065.2
3,0,0,0,0,60,16,10,48154.6
3,0,1,0,1,60,16,2,12245.2
5,0,1,1,1,60,16,8,121980.6
3,1,0,0,1,60,4096,2,12083.8
1,1,0,1,1,60,4096,10,102678.2
3,0,0,0,1,80,4096,0,12055.2
5,0,1,0,1,0,4096,0,9216.4
5,0,1,1,1,100,4096,2,9177.6
5,0,1,1,1,90,4,0,9237.2
2,0,1,1,1,0,2048,0,17782.2
1,1,1,1,1,20,2048,0,17688.8
1,1,1,0,1,100,2048,4,11711.8
1,1,1,0,0,60,2048,8,101521.4
1,1,0,1,0,100,2048,4,11739.8
2,1,0,0,0,50,2048,4,4558.4
2,0,1,0,0,50,512,4,4530.4
2,1,1,0,0,50,8,10,86148.8
2,0,0,0,1,50,512,10,101276.0
2,0,1,1,1,50,1024,4,11846.4
2,0,1,1,0,80,4096,4,11931.6
2,1,1,0,0,80,2,4,12740.4
3,1,1,0,0,80,512,0,12175.2
5,1,0,0,0,80,512,4,9211.0
1,1,0,1,0,20,512,4,12040.4
5,1,1,0,0,80,1,6,47236.6
3,1,0,1,0,80,512,8,37997.6
5,1,1,0,0,80,16,2,9151.0
4,0,1,0,1,80,16,2,8968.4
4,0,0,0,1,80,512,4,12780.2
3,0,0,0,1,50,16,2,12412.8
4,0,0,1,1,80,16,10,415635.2
4,1,1,1,1,80,16,10,416552.6
4,0,1,0,0,80,4,8,51400.2
4,1,1,1,0,80,16,2,35838.2
1,0,0,0,1,70,16,2,17694.6
5,0,1,0,1,50,16,6,47441.8
4,0,1,1,1,90,1,2,35860.0
5,0,1,1,1,40,16,2,9248.8
5,0,1,0,0,40,1,2,9106.6
2,1,1,0,1,40,1,2,11286.4
2,0,1,1,1,90,1,2,17587.8
5,1,0,0,1,80,1,2,9139.2
5,0,0,0,0,20,1,2,9130.0
5,1,0,1,0,20,1,8,121165.0
5,0,1,1,1,20,1,2,9127.4
5,0,1,0,0,20,8,2,9111.6
5,0,1,1,1,70,8,2,9225.4
1,1,1,1,1,70,32,2,17725.2
5,1,0,1,1,70,8,0,9182.2
5,1,0,0,0,70,2,0,9159.0
1,0,0,0,1,70,2,0,17672.4
2,1,1,0,0,70,512,0,4778.8
1,0,1,0,0,70,512,8,100352.4
2,1,1,1,1,70,2,0,17686.0
2,1,1,1,0,0,64,0,17788.4
2,0,0,0,0,60,512,0,4732.6
4,0,0,0,1,60,512,8,39180.4
2,0,0,1,0,0,8,0,17797.8
2,0,0,0,1,60,64,8,101537.6
2,0,1,0,0,70,4096,0,4761.4
2,0,1,1,0,100,4096,4,11813.4
2,1,1,1,1,70,4096,0,17651.4
2,1,0,0,0,50,4096,0,4920.0
2,0,0,0,0,50,64,6,89271.2
5,1,0,0,0,70,4,0,9193.8
2,1,0,1,0,70,16,0,17612.0
2,1,0,0,1,10,4096,10,99412.4
1,0,0,0,0,50,4096,8,101333.2
2,0,1,0,0,100,4096,0,4645.6
3,0,1,1,0,100,4096,2,12132.0
2,0,0,1,0,100,4096,8,102617.2
4,0,0,0,0,20,4096,0,9124.4
2,0,1,1,0,60,4096,10,102853.4
5,0,0,0,1,100,4096,0,9212.8
2,1,1,1,0,80,4096,0,17719.2
2,1,1,0,1,100,4096,6,88263.2
2,1,1,0,1,100,2,0,7438.6
1,0,1,1,1,100,4096,0,17822.8
3,0,1,0,1,100,4096,10,48644.4
2,0,1,1,1,100,512,0,17682.0
2,0,1,1,1,100,4096,4,11820.0
2,1,1,0,1,100,512,0,4655.4
2,0,1,0,1,100,32,10,99631.6
2,0,1,1,0,100,512,0,17714.8
2,1,0,0,0,70,512,0,4807.0
2,1,0,1,0,70,1,6,116364.0
5,1,0,1,0,70,512,8,121004.2
2,1,1,0,0,90,32,0,4685.6
1,1,1,0,1,80,32,0,17813.8
2,1,0,1,0,90,64,0,17667.2
2,1,1,1,1,100,32,0,17695.0
2,1,0,1,0,90,2048,0,17669.8
4,1,1,1,0,90,32,6,49372.0
