new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,2,0,1,1,2048,9,165.2694
1,2,2,2,1,1,4096,9,165.6936
1,0,2,2,1,0,4096,0,167.6958
0,1,2,2,0,0,4096,0,31.4676
1,1,2,0,0,1,4096,0,32.6992
1,1,2,0,1,0,2048,0,31.7862
1,1,2,1,1,1,4096,0,33.3514
1,2,2,0,1,0,512,9,165.5104
1,0,1,0,1,1,2048,0,168.3238
0,1,2,1,1,0,4096,0,32.1888
1,1,2,1,1,1,2048,0,33.1484
0,1,2,2,1,1,1024,0,32.2096
0,0,2,0,1,1,512,0,166.063
0,1,2,1,0,1,512,0,31.4648
0,2,2,0,0,1,512,5,164.7842
0,1,2,2,1,1,1024,0,32.2096
1,1,2,2,0,1,2048,0,32.4974
1,1,1,0,0,1,512,0,32.3174
1,0,1,0,0,0,2048,0,166.7744
0,1,2,0,0,1,1024,0,32.209
1,1,2,2,0,0,1024,0,31.7042
0,1,1,0,0,0,1024,0,32.268
0,1,2,2,0,1,1024,0,31.926
1,1,2,2,1,1,2048,0,32.0416
0,1,2,2,1,0,512,0,30.8186
0,1,2,1,0,0,4096,0,32.8414
0,1,1,0,0,1,4096,0,32.8334
0,1,2,0,1,0,4096,0,31.6904
0,2,2,0,0,0,4096,1,165.3918
1,1,2,0,1,1,2048,0,32.7946
1,0,2,2,0,1,2048,0,165.9724
1,2,2,0,1,1,4096,1,165.7434
0,1,1,0,0,1,2048,0,32.65
0,1,2,0,0,0,1024,0,31.2232
0,0,1,0,0,1,1024,0,167.3634
0,2,2,2,0,0,1024,9,165.1044
1,1,2,0,0,1,4096,0,32.6992
1,0,1,0,1,1,4096,0,166.62
1,0,2,2,1,1,4096,0,162.7602
1,2,1,0,0,1,4096,1,168.1812
1,0,1,0,0,1,1024,0,168.7374
1,2,1,0,0,1,4096,5,165.9954
0,0,1,0,0,1,4096,0,167.7698
1,1,1,0,1,0,4096,0,32.5432
1,1,2,1,1,1,4096,0,33.3514
1,0,2,0,1,0,2048,0,165.0044
0,0,1,0,0,0,4096,0,165.4656
0,1,1,0,0,1,4096,0,32.8334
1,0,1,0,0,0,4096,0,166.614
1,1,2,2,0,1,4096,0,32.3962
0,1,2,2,0,0,2048,0,31.9334
0,1,2,1,1,0,1024,0,31.5162
0,1,1,0,1,0,2048,0,32.0884
0,1,2,0,0,0,1024,0,31.2232
1,2,2,0,0,0,1024,9,166.7386
0,0,2,0,1,1,1024,0,165.3184
0,1,2,1,1,0,2048,0,31.9244
1,1,2,1,1,1,4096,0,33.3514
1,1,1,0,1,0,4096,0,32.5432
0,1,2,0,1,1,4096,0,31.7572
1,0,1,0,1,1,4096,0,166.62
0,1,2,1,0,0,4096,0,32.8414
1,2,2,1,0,0,4096,1,165.3456
0,2,2,1,0,0,1024,1,166.5234
0,0,2,2,0,1,4096,0,164.0186
0,0,2,1,1,1,4096,0,164.5404
1,2,2,1,0,0,4096,9,166.6352
0,2,2,1,1,0,4096,5,165.3672
0,0,2,1,1,1,4096,0,164.5404
1,1,2,1,1,0,2048,0,32.3072
0,1,2,2,1,0,512,0,30.8186
0,1,2,1,0,1,512,0,31.4648
1,1,2,1,1,1,4096,0,33.3514
1,0,2,2,1,1,2048,0,164.7156
0,1,1,0,1,1,4096,0,32.4974
1,0,1,0,0,1,4096,0,166.5042
1,1,2,0,1,0,4096,0,31.8582
0,1,1,0,0,0,4096,0,31.9984
1,1,1,0,1,0,512,0,32.389
1,0,2,2,1,0,512,0,164.1874
1,1,2,1,1,0,1024,0,32.2274
1,2,2,0,1,0,1024,1,166.9388
0,1,2,2,1,0,512,0,30.8186
1,0,2,2,1,1,512,0,166.1112
1,1,2,0,1,0,2048,0,31.7862
0,1,2,0,0,1,2048,0,32.1222
1,0,1,0,0,1,2048,0,165.3552
1,1,2,1,1,1,2048,0,33.1484
0,1,2,0,1,0,2048,0,31.6254
1,1,1,0,0,0,2048,0,32.4476
1,1,2,0,1,0,1024,0,31.9844
1,0,1,0,1,1,1024,0,167.7914
1,0,2,1,1,0,512,0,164.8182
1,0,2,1,1,1,1024,0,165.3652
1,0,1,0,0,0,1024,0,168.0676
0,0,2,0,1,0,512,0,166.1266
1,0,2,0,0,0,4096,0,164.1756
1,2,1,0,1,0,1024,9,167.6726
1,1,2,1,0,1,1024,0,32.517
