ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,77666.4
1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,74797.0
1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,75080.4
1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,76584.0
1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,76786.2
1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,78966.4
1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,78392.6
1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,74480.6
1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,68329.0
1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,60559.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,60872.6
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,68231.2
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,63722.8
1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,69689.6
1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,61650.4
1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,73983.8
1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,75244.6
1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,74833.6
1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,80225.8
1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,66291.2
0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,66636.0
0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,78238.8
0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,88761.6
0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,72416.6
0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,63539.6
0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,65282.8
0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,69150.0
1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,63250.8
1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,68640.4
1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,75404.2
1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,84713.8
1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,91060.2
1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,86502.8
1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,84972.6
1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,89289.2
1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,92254.2
1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,87692.8
0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,83972.4
0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,83620.8
0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,75179.4
1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,77836.2
1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,81899.8
0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,81837.4
0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,79425.8
1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,86720.4
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,69436.0
0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,71990.6
0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,61444.8
0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,60529.2
0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,67558.4
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,78165.6
0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,61354.0
0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,72376.0
0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,65023.2
0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,57974.6
0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,65968.0
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,58987.4
1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,64628.8
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,60308.4
1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,67298.8
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,58436.4
0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,68685.0
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,69003.4
1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,74611.6
1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,76842.8
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,61733.8
0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,68532.8
0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,69317.8
1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,76952.6
0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,74972.8
0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,72215.0
0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,69101.8
0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,65324.2
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,70268.2
0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,75804.4
0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,74335.0
1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,75169.0
1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,78638.2
1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,80646.2
0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,82550.6
1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,79348.4
1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,70357.0
0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,72664.8
1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,75304.6
1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,66658.8
1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,65907.2
1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,69575.6
1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,74434.8
1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,69410.4
1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,69869.0
1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,58641.0
1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,68650.0
0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,64294.8
1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,67598.2
1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,63125.8
1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,65643.4
1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,74709.4
1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,74367.0
1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,67948.4
