fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,0,1,1,0,64,32,1024,139522.4
0,0,1,1,1,64,32,4096,46738.6
0,1,0,1,1,64,32,1024,46378.6
0,1,0,0,1,256,32,256,46163.4
1,1,1,0,0,256,32,256,130642.8
0,1,1,0,1,256,8,4096,46207.2
0,0,1,0,0,256,32,4096,46148.2
0,0,0,1,1,256,32,4096,46507.4
1,1,0,1,1,256,8,4096,131693.0
0,1,0,1,1,256,8,1024,46605.0
1,0,0,1,1,128,8,1024,135632.6
0,1,1,1,0,128,8,1024,46551.0
0,1,1,1,1,128,2,256,46463.2
0,0,1,0,0,128,2,256,46293.4
1,0,1,0,0,64,32,256,137127.0
0,1,0,0,0,128,2,4096,46368.8
0,0,0,0,1,256,2,4096,47094.8
1,0,0,0,0,256,8,4096,135307.4
1,0,0,0,0,256,8,4096,135307.4
1,0,0,0,0,256,8,4096,135307.4
1,1,0,0,1,64,2,4096,136458.4
0,0,0,1,1,128,32,4096,46343.6
0,1,0,1,0,256,32,4096,46756.0
0,0,1,1,0,64,32,4096,46914.0
0,0,0,0,0,128,32,4096,46476.2
0,1,1,0,0,256,32,4096,46191.2
1,1,0,1,0,256,32,4096,128968.4
1,0,1,0,0,256,32,1024,134646.2
0,0,1,1,0,256,32,1024,47774.0
0,1,0,1,1,256,32,1024,46390.0
1,1,0,0,1,256,2,1024,131355.4
1,1,1,0,1,256,32,1024,129640.2
0,1,0,0,0,128,32,1024,46341.0
1,1,0,0,0,64,32,4096,132759.0
1,1,0,1,0,128,32,4096,130274.6
1,1,0,0,0,256,32,4096,132785.6
0,1,0,1,1,128,32,4096,46394.0
1,1,1,0,1,128,32,4096,128474.6
1,1,1,0,1,128,32,4096,128474.6
1,0,0,0,1,128,32,4096,132338.6
0,0,1,1,1,128,32,256,46567.8
1,1,0,1,1,128,32,256,130087.4
0,0,0,0,1,128,2,256,47198.6
0,1,1,0,0,128,2,256,46183.8
0,0,1,1,1,128,2,256,46688.4
0,1,1,1,0,128,2,4096,47187.0
1,1,1,1,0,128,32,1024,126388.4
0,1,0,0,0,128,8,4096,46379.2
1,1,0,0,1,128,8,1024,133644.4
1,0,0,0,0,128,2,4096,133393.2
1,1,1,0,0,128,8,1024,133603.0
1,1,1,0,0,128,2,4096,133944.0
0,0,1,0,0,128,8,1024,46245.0
1,0,0,0,0,64,8,1024,132700.0
1,0,1,0,0,64,8,4096,136884.0
0,0,0,1,1,128,8,1024,46358.4
1,1,0,1,1,64,8,1024,125966.2
0,1,1,1,0,128,8,1024,46551.0
0,1,1,0,0,64,2,1024,46321.6
0,0,0,1,0,64,2,1024,46287.8
0,0,1,0,1,64,2,1024,46185.2
1,0,0,1,1,64,2,1024,133912.8
1,0,0,0,1,64,2,256,133882.4
0,1,1,1,1,256,2,1024,46812.2
1,1,1,1,1,64,8,1024,131358.0
1,1,1,0,1,256,8,1024,128079.8
1,1,1,0,1,256,2,256,137593.6
1,1,0,0,1,256,2,1024,131355.4
0,0,0,1,1,256,2,4096,46327.4
0,0,1,1,1,64,32,4096,46738.6
0,1,0,0,1,64,32,4096,46295.6
0,0,1,0,1,64,8,4096,46345.6
0,1,0,0,1,64,8,256,46237.6
0,0,0,0,1,256,8,4096,46282.0
1,0,0,0,0,256,8,1024,131793.4
0,0,0,1,0,128,8,4096,46352.2
1,1,0,1,0,128,32,4096,130274.6
0,0,1,1,1,128,8,1024,46669.0
0,1,1,0,1,128,8,4096,46460.8
1,1,1,0,1,256,32,4096,128597.0
0,1,0,0,1,64,8,256,46237.6
1,1,0,0,1,64,32,4096,134364.4
0,0,0,0,1,256,2,256,46214.2
0,0,0,1,1,128,2,4096,46338.8
0,0,0,0,1,256,2,1024,46354.2
1,1,0,1,1,256,2,1024,130103.4
0,1,0,0,0,128,2,1024,46240.8
0,1,1,0,1,128,2,256,46285.6
0,1,1,0,0,128,32,4096,46145.8
0,0,1,1,1,128,32,4096,46593.6
0,0,0,1,1,256,2,4096,46327.4
0,1,0,0,1,256,32,4096,46104.2
0,0,1,1,1,256,32,4096,46299.2
1,1,1,0,0,256,32,4096,131082.0
1,1,1,0,1,256,32,1024,129640.2
0,0,0,1,0,256,32,4096,46898.4
0,1,1,1,0,128,32,4096,46612.8
0,0,0,0,0,128,32,4096,46476.2
0,1,0,1,0,256,32,4096,46756.0
