WindowSize,CompressionLevel,Performance
11,10,343.594
11,2,1.998
11,9,6.286
19,9,14.048
24,9,108.602
19,2,2.1
23,2,2.032
10,2,2.146
23,2,2.032
23,8,37.284
23,10,318.954
20,2,2.088
12,2,1.988
14,2,1.9
14,6,4.874
18,6,7.51
14,6,4.874
14,11,301.078
17,6,6.34
18,6,7.51
18,4,2.824
18,0,1.628
15,0,1.534
15,4,2.834
20,4,2.808
20,0,1.63
13,0,1.514
13,4,2.972
13,3,2.37
14,3,2.302
22,3,2.5
22,8,25.432
22,9,34.292
16,9,9.094
16,8,7.548
16,7,6.998
16,4,2.77
16,0,1.59
10,0,1.662
22,0,1.596
11,0,1.526
11,10,343.594
22,0,1.596
17,0,1.606
13,0,1.514
22,0,1.596
22,5,7.198
22,6,10.266
12,6,3.846
24,6,10.176
21,6,10.46
21,10,244.734
21,2,2.06
21,9,23.614
11,9,6.286
11,8,5.042
14,8,6.086
14,6,4.874
24,6,10.176
18,6,7.51
17,6,6.34
21,6,10.46
21,4,2.768
10,4,3.02
15,4,2.834
15,7,6.39
15,5,5.072
15,11,292.192
15,9,8.084
15,6,5.306
14,6,4.874
14,11,301.078
10,6,3.386
10,0,1.662
10,2,2.146
10,11,363.346
23,0,1.556
23,4,2.726
14,4,2.894
14,5,4.678
24,5,7.154
16,5,5.392
16,3,2.508
11,3,2.476
11,9,6.286
11,10,343.594
11,4,3.04
11,6,3.57
11,0,1.526
11,7,5.078
11,3,2.476
12,3,2.426
12,8,5.318
12,2,1.988
12,7,5.266
16,2,2.026
23,2,2.032
12,2,1.988
12,0,1.528
