spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,1,1,1,0,1,1,0,1,0,1,0,1,0,0.173783515392
0,1,1,1,0,1,0,0,1,0,1,1,1,0,0.0148957298908
1,1,1,1,0,1,0,0,1,0,0,0,1,0,0.994041708044
0,1,1,0,0,0,1,0,1,0,1,1,1,0,0.0178748758689
0,1,1,0,0,0,1,1,1,0,1,0,1,1,0.0178748758689
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0.0148957298908
0,1,0,0,0,1,1,1,0,0,0,1,1,0,0.0148957298908
0,0,0,1,1,1,1,1,0,0,0,1,1,0,0.00595829195631
0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.0119165839126
0,1,1,0,1,0,1,1,1,0,0,0,1,0,0.0228401191658
0,1,1,1,0,0,1,1,1,0,0,0,1,1,0.00297914597815
0,1,0,1,0,0,1,0,0,0,0,0,1,1,0.00397219463754
1,1,0,1,1,0,1,0,0,1,0,0,1,1,0.702085402185
1,1,1,1,0,0,0,0,0,1,0,0,1,1,0.996027805362
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0.998013902681
1,1,0,1,0,0,1,0,0,0,1,0,0,0,0.997020854022
1,1,0,0,0,1,1,0,0,0,1,0,1,0,0.993048659384
1,1,0,0,0,1,0,1,0,0,1,1,1,0,0.992055610725
1,0,0,0,1,1,0,1,0,0,1,0,1,0,0.994041708044
1,0,0,0,1,1,0,0,0,0,0,0,1,1,0.993048659384
1,0,1,1,1,1,0,0,0,0,0,0,1,0,0.993048659384
1,0,0,1,1,1,1,0,0,0,0,0,0,0,0.994041708044
1,1,0,1,1,1,0,0,0,0,0,0,0,1,0.994041708044
1,0,1,1,1,1,1,0,0,0,0,0,0,1,0.994041708044
1,0,1,0,1,1,0,0,1,0,0,0,0,1,0.992055610725
0,0,1,0,1,0,0,0,1,0,0,0,1,1,0.0278053624628
0,1,1,1,0,0,0,0,1,0,0,0,1,1,0.00397219463754
0,1,1,1,1,0,0,1,0,0,0,0,1,1,0.00794438927507
0,0,1,1,1,0,1,1,1,0,0,0,1,1,0.00297914597815
0,1,1,1,0,0,1,0,1,0,0,0,1,1,0.00297914597815
0,1,1,0,0,0,0,0,1,0,0,0,0,1,0.00297914597815
0,0,1,0,1,0,1,0,1,0,0,0,0,1,0.00595829195631
0,0,1,0,1,1,1,0,1,0,0,0,1,0,0.00695134061569
0,0,0,0,1,0,1,0,1,0,0,0,1,1,0.0198609731877
0,0,0,1,1,0,1,0,1,0,0,1,0,1,0.00297914597815
0,0,1,0,1,0,1,0,1,1,0,1,0,1,0.00595829195631
