topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,1,4,1000000,1,0,1,10,512,100,5,0,0.000750330567596
4,10,4,1000000,1,0,1,10,1024,100,2,0,0.00232725034487
4,10,4,1000000,1,1,1,1000,1024,10000,2,0,0.00235176205125
4,1,2,1000000,10,1,1,1000,1024,10000,2,0,0.00514882010178
4,1,4,1000000,1,0,1,1000,1024,10000,2,0,0.00198408645551
4,1,4,10,1,0,1,1000,1024,10000,5,29,0.0144796096647
4,10,4,1000000,1,0,1,1000,512,10000,5,29,0.000881059668302
2,1,4,10,1,0,1,1000,512,10000,5,29,0.0148486470219
4,1,4,10,1,0,1000,1000,512,10000,5,0,0.252251332143
4,1,4,1000000,1,0,1,1000,512,10000,2,29,0.00188876315291
4,10,4,1000000,1,1,1,1000,512,10000,2,0,0.00237899728056
2,10,4,1000000,1,1,1,1000,512,10000,5,29,0.000979106493832
2,10,4,1000000,1,0,1000,1000,1024,10000,5,29,6.26410274218e-05
2,10,2,10,1,1,1000,1000,1024,10000,5,29,0.281327662959
2,10,4,10,1,1,1000,10,1024,100,5,29,0.297267080915
2,10,2,10,10,1,1000,10,512,100,5,29,0.267153087862
2,10,4,10,1,1,1000,10,1024,100,5,29,0.297267080915
2,10,4,1000000,1,1,1,10,512,100,5,29,0.00104719456712
4,10,4,10,10,1,1,10,512,100,5,29,0.0793702670278
4,10,4,10,10,0,1,10,512,100,2,0,0.140114360728
4,10,2,10,10,0,1,10,512,100,5,29,0.0819725931887
4,1,2,10,10,0,1,10,512,100,2,0,0.145383015839
4,1,2,1000000,10,0,1,10,512,100,5,29,8.17056879415e-06
2,1,2,10,1,0,1,10,512,100,5,29,0.0151536815902
2,1,4,10,10,0,1,10,512,100,2,29,0.149673926217
4,1,4,10,10,0,1,10,1024,100,5,29,0.0805672553561
4,10,4,10,10,0,1,10,1024,100,2,0,0.143043509641
4,10,2,10,10,0,1,1000,1024,10000,2,0,0.141819286083
4,10,2,1000000,1,0,1,1000,1024,10000,2,29,0.00290191368339
4,1,2,10,1,0,1,1000,1024,10000,5,29,0.0144591832427
2,1,2,10,1,0,1,1000,512,10000,5,0,0.0148772440127
4,1,2,10,1,1,1,1000,512,10000,5,29,0.0139852902526
4,1,2,10,10,1,1000,1000,1024,10000,5,29,0.200738619419
4,1,2,10,10,0,1,1000,1024,10000,2,29,0.145302671912
4,1,4,1000000,10,1,1,1000,1024,10000,2,29,0.00549743103699
4,1,4,1000000,10,1,1000,10,1024,100,2,29,0.000556960439468
4,1,4,1000000,10,0,1,10,1024,100,2,0,0.002421211886
2,1,4,1000000,1,0,1,10,1024,100,5,0,0.000842930347263
4,10,4,1000000,1,1,1,10,1024,100,5,0,0.000870165576577
2,10,4,1000000,1,0,1,10,512,100,5,0,0.00100906524608
2,10,2,1000000,1,1,1,10,512,100,5,29,0.00106081218177
2,10,4,10,1,1,1,10,1024,100,5,29,0.0149099262879
2,10,4,1000000,1,0,1,10,1024,100,5,0,0.00105808865884
4,10,2,1000000,1,1,1,10,1024,100,5,0,0.00091646546641
2,1,2,1000000,1,1,1,10,1024,100,2,0,0.00137674084181
2,1,4,10,1,1,1,10,1024,100,5,0,0.0152135990947
4,1,2,1000000,1,1,1,10,1024,100,5,0,0.000649560219135
4,1,2,1000000,10,1,1,10,1024,100,2,29,0.00506711441384
4,1,2,1000000,1,0,1,10,1024,100,2,0,0.00328593041671
4,1,2,1000000,10,1,1,10,512,100,2,0,0.00619329114596
4,10,2,1000000,10,1,1,10,1024,100,2,29,0.00103085342953
4,10,4,10,10,1,1,10,1024,100,5,29,0.0782903901855
4,1,4,10,10,0,1,10,1024,100,5,0,0.0804814643838
4,1,4,10,10,0,1000,10,1024,100,2,29,0.458031192508
4,1,4,10,1,0,1,10,512,100,2,0,0.00857365018799
4,1,4,10,10,0,1000,10,512,100,2,29,0.457938592728
4,1,2,1000000,10,1,1000,10,512,100,2,29,0.000200178935457
4,1,4,10,1,1,1000,10,512,100,2,29,0.732897297312
4,10,2,1000000,10,1,1000,1000,512,10000,2,29,0.000121196770447
4,10,2,1000000,10,0,1,1000,1024,10000,2,29,0.00026554348581
2,10,2,1000000,1,0,1000,1000,1024,10000,2,29,0.000284608146329
2,10,2,10,1,1,1000,1000,1024,10000,5,29,0.281327662959
2,1,2,10,10,1,1000,1000,1024,10000,5,0,0.336333293842
2,10,4,10,10,1,1000,1000,1024,10000,2,29,0.768632641695
4,10,2,10,1,1,1000,10,1024,100,5,29,0.207851099554
2,10,2,1000000,1,1,1000,10,1024,100,2,29,4.08528439707e-05
4,10,2,1000000,1,0,1,10,1024,100,2,29,0.00289646663752
4,10,4,1000000,1,1,1,10,1024,100,5,29,0.000864718530714
2,10,4,1000000,1,0,1,10,512,100,5,29,0.00104174752125
4,10,4,1000000,1,1,1,10,1024,100,5,29,0.000864718530714
4,10,4,1000000,10,1,1,10,512,100,2,29,0.000637304365943
2,10,2,10,10,1,1,10,512,100,2,29,0.149648052749
4,10,2,1000000,10,1,1,10,1024,100,2,29,0.00103085342953
4,10,4,10,10,1,1,10,1024,100,2,0,0.143780222594
2,10,4,10,10,1,1,10,512,100,5,0,0.135334577983
4,10,4,10,10,1,1000,10,512,100,2,0,0.427172315934
4,10,4,10,10,1,1000,10,512,100,2,0,0.427172315934
2,10,4,10,10,0,1000,10,1024,100,2,0,0.742142295903
4,10,2,1000000,1,1,1000,10,512,100,2,0,0.00716150354807
2,10,4,1000000,1,1,1,10,512,100,2,0,0.00250427933541
2,10,4,10,1,1,1,10,512,100,5,29,0.0149684820309
2,10,4,1000000,1,0,1,10,512,100,5,0,0.00100906524608
4,10,4,1000000,1,0,1,1000,512,10000,5,0,0.000875612622439
4,10,2,10,1,0,1,1000,512,10000,2,0,0.0149330762328
4,10,2,10,1,0,1,10,512,100,2,29,0.0146743415543
2,1,2,10,1,1,1,10,512,100,2,29,0.0152435578469
2,1,2,1000000,1,0,1,10,1024,100,2,29,0.00128958810801
4,1,2,1000000,1,1,1,10,512,100,2,29,0.00321239529757
4,1,2,10,10,1,1000,10,512,100,2,29,0.512839367979
4,1,2,1000000,1,1,1000,10,1024,100,2,0,0.00510388197341
4,1,4,10,1,1,1000,10,1024,100,5,0,0.251247713943
