new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,2,3,1,0,1,1,0,0,1,67.2
2,2,3,0,0,0,1,0,0,0,70.776
2,2,3,1,0,0,1,1,1,0,63.126
1,2,1,0,0,0,1,1,1,0,125.088
2,3,3,0,1,0,1,1,1,0,87.774
2,1,3,1,1,0,0,1,1,0,45.536
4,1,3,1,1,1,0,1,0,0,23.244
2,2,3,1,1,1,0,1,1,0,58.754
4,1,1,1,1,1,1,0,0,0,21.942
4,1,1,0,1,1,1,0,1,1,23.536
4,3,3,0,1,1,0,0,1,1,39.382
4,3,3,0,0,1,1,0,1,0,43.586
2,3,3,1,0,1,1,0,1,1,81.854
2,3,3,0,0,1,1,1,0,0,104.788
4,1,2,0,0,1,1,1,1,0,25.202
4,3,1,0,0,1,1,0,1,0,42.734
4,3,1,0,1,0,1,0,0,0,48.99
4,3,1,1,0,1,1,0,0,1,47.374
1,3,1,1,1,0,1,0,0,1,170.144
4,3,1,0,0,0,0,0,0,1,45.34
4,3,1,1,1,0,1,0,0,1,46.604
4,3,1,0,0,0,1,0,1,1,42.588
4,3,1,0,1,0,1,1,0,1,52.726
1,3,1,0,1,1,0,1,0,1,181.412
3,1,1,0,1,0,1,0,0,1,30.764
3,2,1,1,1,0,1,0,0,0,46.338
3,1,3,1,1,0,1,0,1,1,29.966
3,1,3,1,0,1,1,0,1,0,31.342
3,3,3,0,1,1,1,0,1,0,59.306
3,3,3,1,1,1,0,1,1,0,52.128
4,3,3,0,1,0,0,1,1,0,40.81
4,2,3,0,1,1,1,1,1,0,33.11
4,2,3,0,1,1,0,1,0,1,36.114
4,2,1,1,0,1,0,1,0,1,34.462
4,3,3,1,0,1,0,1,0,0,46.836
2,2,2,1,0,1,0,1,1,1,59.654
4,3,2,1,0,0,0,1,0,1,46.742
4,3,1,1,0,0,0,1,0,0,46.572
4,2,1,1,1,0,1,1,0,1,35.806
4,2,1,0,1,0,0,1,0,1,36.242
4,1,1,0,0,1,0,1,0,0,24.87
4,1,3,1,0,1,0,1,1,0,23.662
4,1,1,1,0,0,0,0,1,0,22.452
1,3,1,1,0,0,0,0,0,0,157.302
4,1,3,0,0,0,1,0,1,0,25.058
4,1,3,0,1,1,0,0,1,0,24.542
4,3,2,0,0,1,0,0,1,0,39.052
4,1,2,0,1,1,0,1,0,0,24.8
4,3,2,0,1,1,0,1,1,1,40.708
4,1,3,1,1,1,0,1,1,0,22.92
4,1,3,0,1,0,0,1,0,0,24.88
4,1,1,1,1,1,0,1,0,0,23.666
2,1,1,0,1,1,0,0,0,0,44.58
4,1,1,1,0,0,0,0,0,0,22.312
4,1,3,1,1,0,0,1,0,0,22.99
4,1,2,1,0,1,0,1,0,0,23.362
1,3,2,1,1,1,0,1,0,0,172.216
4,2,1,1,0,1,1,1,0,0,36.338
4,1,2,1,0,0,1,1,0,1,23.688
2,1,3,1,0,0,0,1,0,1,47.06
4,3,2,1,1,0,0,1,0,1,46.19
4,2,2,0,0,0,1,1,1,1,33.784
4,1,3,1,1,0,1,1,0,0,23.002
4,3,3,1,0,1,1,1,0,0,50.714
3,1,3,0,1,1,1,1,0,0,33.554
4,1,2,1,1,1,0,1,0,0,23.01
3,1,2,0,0,1,0,1,0,0,33.812
4,3,2,1,0,1,1,1,0,0,50.568
4,1,2,0,0,1,0,0,0,0,24.438
3,2,2,0,0,1,0,1,0,0,50.242
4,2,1,0,0,1,0,0,1,0,29.858
1,2,1,0,0,1,0,0,0,0,122.898
1,1,2,1,1,1,0,0,0,0,79.18
4,2,2,1,1,1,0,0,0,0,32.114
4,3,2,0,1,1,1,0,0,0,49.638
4,1,2,0,1,0,0,0,0,1,23.924
1,1,2,0,0,0,0,0,1,1,86.152
4,1,1,1,1,0,0,0,1,1,21.586
4,1,2,1,1,0,0,1,1,0,23.12
2,1,1,1,1,0,1,1,1,1,45.936
3,1,1,1,1,0,0,1,0,1,30.918
1,1,1,1,1,0,1,0,1,0,79.166
3,1,1,0,1,0,1,0,1,1,31.006
1,1,2,1,1,0,0,0,1,0,78.9
4,1,3,0,0,0,0,0,1,1,24.79
4,1,2,0,0,0,0,0,1,1,24.324
4,1,3,0,1,0,0,1,1,1,25.034
4,2,3,0,0,0,0,0,1,1,30.876
2,3,3,0,1,0,0,1,1,0,80.134
4,1,2,0,1,0,1,1,0,1,25.094
3,1,3,1,1,0,1,1,0,1,31.128
4,2,3,0,1,0,0,1,0,1,36.348
4,2,3,0,1,0,1,0,0,1,36.598
4,3,2,0,1,0,0,1,1,1,41.048
4,1,1,0,0,0,1,0,0,1,23.632
4,3,1,0,1,0,0,0,0,1,44.602
4,1,2,0,0,0,0,0,1,1,24.324
4,1,2,0,1,1,0,0,1,0,23.964
3,1,2,1,1,1,0,0,1,1,29.254
