new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
2,1,0,1,0,40,256,8,102998.6
2,1,1,1,0,40,256,8,103089.4
2,1,0,1,0,40,256,8,102998.6
2,1,0,1,0,40,256,8,102998.6
2,1,0,1,0,80,256,8,102715.2
2,1,0,1,0,30,256,8,103401.8
2,1,0,1,0,80,256,4,11918.8
2,1,0,1,0,80,256,4,11918.8
2,1,0,1,0,80,256,10,102958.2
4,1,0,1,0,80,256,4,43539.0
2,1,0,1,0,40,256,4,11961.0
2,1,0,1,1,40,256,4,11967.0
2,1,0,1,1,40,256,4,11967.0
2,1,0,1,1,40,256,4,11967.0
5,1,0,1,1,40,256,4,9145.6
5,1,0,0,1,40,256,4,9149.6
5,1,0,0,1,40,256,0,9108.6
5,1,0,0,1,40,256,8,122405.4
5,1,1,0,1,40,256,0,9205.2
5,1,0,0,1,40,64,0,9184.4
5,1,0,0,0,40,64,0,9137.8
5,1,0,0,0,40,64,2,9171.2
5,1,0,0,0,30,64,0,9176.2
5,1,0,1,0,30,64,0,9291.6
5,1,0,0,0,30,32,0,9143.0
3,1,0,0,0,30,32,0,12144.8
5,1,0,0,0,30,2,0,9167.0
5,1,0,0,0,30,32,0,9143.0
5,1,0,0,0,30,1,0,9120.2
5,1,1,0,0,30,1,0,9144.4
5,1,1,0,0,30,1,0,9144.4
5,1,1,0,0,30,1,0,9144.4
4,1,1,0,0,30,1,0,10062.2
5,0,1,0,0,30,1,0,9128.2
5,0,0,0,0,30,1,0,9166.6
5,0,1,1,0,30,1,0,9150.6
5,0,1,1,0,0,1,0,9259.0
5,0,1,1,0,30,1,10,300280.0
5,0,1,0,0,30,1,0,9128.2
5,0,1,0,0,30,1,0,9128.2
5,0,1,0,1,30,1,0,9305.4
5,1,1,0,0,30,1,0,9144.4
5,1,1,0,0,70,1,0,9163.2
5,0,1,0,0,30,1,0,9128.2
5,0,1,0,1,30,1,0,9305.4
5,0,1,0,0,30,2,0,9167.0
5,0,1,0,0,30,1,0,9128.2
5,0,1,0,0,30,1,0,9128.2
5,0,1,0,0,30,8,0,9174.6
1,0,1,0,0,30,1,0,17718.8
5,0,1,0,0,80,1,0,9067.0
5,0,1,0,0,100,1,0,9081.2
4,0,1,0,0,100,1,0,10029.6
5,0,1,0,1,100,1,0,9124.0
5,0,1,0,1,100,1,4,9085.4
5,0,1,0,1,100,1,10,298337.6
5,0,1,0,1,100,1,4,9085.4
5,0,1,0,1,100,1024,4,9149.2
5,0,1,0,1,80,1,4,9131.0
5,0,1,1,1,80,1,4,9102.8
5,0,1,1,1,80,1,4,9102.8
5,0,1,1,1,80,1,4,9102.8
5,0,1,1,1,80,1,4,9102.8
5,0,1,1,1,80,1,4,9102.8
5,0,1,1,1,80,1,4,9102.8
5,0,1,1,1,80,1,4,9102.8
5,0,1,1,1,80,2,4,9180.8
5,0,1,1,1,20,1,4,9240.0
5,0,0,1,1,80,1,4,9126.4
5,0,1,1,1,80,1,10,297820.2
5,0,1,1,1,50,1,4,9193.0
5,1,1,1,1,50,1,4,9146.2
5,0,1,1,1,50,1,4,9193.0
5,1,1,1,1,50,1,4,9146.2
5,0,1,1,1,50,1,4,9193.0
5,0,1,1,1,50,1,4,9193.0
5,0,1,1,1,50,1,4,9193.0
4,0,1,1,1,50,1,4,42818.0
5,0,1,1,1,10,1,4,9159.0
5,0,1,1,1,10,1,8,121362.2
5,0,1,1,0,10,1,4,9102.4
5,0,1,1,0,10,4096,4,9115.0
1,0,1,1,0,10,4096,4,12315.2
5,0,1,1,1,10,4096,4,9113.2
5,0,1,1,1,10,4096,4,9113.2
4,0,1,1,1,10,4096,4,43081.2
5,0,1,1,1,10,4096,4,9113.2
5,0,1,1,1,10,4096,2,9247.0
5,0,1,1,1,10,4096,4,9113.2
5,0,1,1,1,0,4096,4,9250.6
4,0,1,1,1,10,4096,4,43081.2
5,0,1,1,1,10,4096,6,47662.8
5,0,1,1,0,10,4096,4,9115.0
3,0,1,1,0,10,4096,4,12469.8
5,0,1,1,0,100,4096,4,9163.8
5,0,1,1,0,100,1,4,9123.6
5,0,1,0,0,100,1,4,9203.4
5,0,1,1,0,100,1,4,9123.6
5,0,1,1,0,100,1,4,9123.6
5,0,1,1,0,50,1,4,9122.2
