new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,2,2,1,1,0,512,5,165.4086
1,2,2,1,1,0,512,5,165.4086
1,2,2,1,1,0,512,5,165.4086
1,2,2,1,1,0,512,5,165.4086
1,2,2,1,1,0,512,5,165.4086
0,2,2,1,1,0,512,5,164.8446
0,2,2,1,1,0,512,5,164.8446
0,2,2,0,1,0,512,5,163.0798
0,2,2,0,1,0,512,5,163.0798
0,2,2,0,1,0,512,5,163.0798
0,2,2,0,1,0,512,5,163.0798
0,2,2,0,1,0,512,5,163.0798
0,2,2,0,1,0,512,5,163.0798
0,2,2,0,1,0,512,1,162.5806
0,2,1,0,1,0,512,1,165.6704
0,2,2,0,1,0,512,1,162.5806
0,2,2,2,1,0,512,1,163.8384
0,2,2,2,1,0,512,1,163.8384
0,2,2,2,1,0,2048,1,165.2808
0,2,2,2,1,0,2048,1,165.2808
0,2,2,2,0,0,2048,1,165.2856
0,2,2,2,0,0,4096,1,166.6618
0,2,2,2,0,0,4096,1,166.6618
0,2,2,2,0,0,4096,1,166.6618
0,2,2,1,0,0,4096,1,166.6604
0,2,2,1,0,0,4096,1,166.6604
0,2,2,1,0,0,4096,1,166.6604
0,2,2,1,0,0,4096,1,166.6604
1,2,2,1,0,0,4096,1,165.3456
1,2,2,1,0,0,4096,1,165.3456
1,2,2,1,0,0,4096,5,165.547
1,2,2,1,1,0,4096,5,165.3856
1,2,2,1,1,0,4096,5,165.3856
1,2,2,1,1,0,512,5,165.4086
1,2,2,1,1,0,512,5,165.4086
1,2,2,2,1,0,512,5,163.3106
1,2,2,2,0,0,512,5,165.3112
1,2,2,2,0,0,512,5,165.3112
1,2,2,2,1,0,512,5,163.3106
1,2,2,0,1,0,512,5,164.5372
1,2,2,0,1,1,512,5,163.3164
1,2,2,0,1,1,1024,5,166.3478
1,2,2,0,0,1,1024,5,164.6338
1,2,2,0,1,1,1024,5,166.3478
1,2,2,0,1,1,1024,5,166.3478
1,2,2,0,1,1,1024,1,164.6092
1,2,2,1,1,1,1024,1,164.7078
1,2,2,1,0,1,1024,1,166.5726
1,2,2,1,0,1,1024,1,166.5726
1,2,2,0,0,1,1024,1,165.0806
1,2,2,0,0,1,1024,9,166.6548
1,2,2,0,0,1,1024,9,166.6548
1,2,2,0,0,1,1024,5,164.6338
1,2,2,0,0,1,1024,5,164.6338
1,2,2,0,0,1,1024,5,164.6338
1,2,2,0,0,1,1024,5,164.6338
1,2,2,0,0,1,1024,5,164.6338
1,2,2,0,0,0,1024,5,166.8392
1,2,2,0,0,0,1024,5,166.8392
1,2,2,0,0,0,1024,5,166.8392
1,2,2,0,0,0,1024,5,166.8392
1,2,2,0,0,0,1024,5,166.8392
1,2,2,0,0,0,1024,5,166.8392
1,2,2,0,0,0,4096,5,165.0282
1,2,2,0,0,0,4096,5,165.0282
1,2,2,0,0,0,4096,5,165.0282
1,2,2,0,1,0,4096,5,164.9454
1,2,2,0,1,0,512,5,164.5372
0,2,2,0,1,0,512,5,163.0798
0,2,2,0,1,0,512,5,163.0798
0,2,2,0,1,0,512,5,163.0798
0,2,2,0,1,0,512,5,163.0798
0,2,1,0,1,0,512,5,166.5048
1,2,1,0,1,0,512,5,168.1308
1,2,1,0,1,0,512,5,168.1308
1,2,1,0,1,0,512,5,168.1308
1,2,1,0,1,0,512,5,168.1308
1,2,1,0,1,0,2048,5,167.1708
1,2,1,0,1,0,2048,9,166.901
1,2,1,0,1,0,4096,9,166.1892
1,2,1,0,1,0,4096,9,166.1892
1,2,1,0,1,0,4096,9,166.1892
1,2,1,0,1,0,4096,9,166.1892
0,2,1,0,1,0,4096,9,165.8646
0,2,1,0,0,0,4096,9,166.5608
0,2,1,0,0,0,512,9,167.8128
0,2,1,0,0,0,512,9,167.8128
0,2,1,0,0,0,4096,9,166.5608
0,2,1,0,0,0,4096,9,166.5608
0,2,1,0,1,0,4096,9,165.8646
0,2,2,0,1,0,4096,9,166.0144
0,2,2,0,1,0,4096,9,166.0144
0,2,2,0,1,0,4096,9,166.0144
0,2,2,0,1,0,4096,9,166.0144
0,2,2,0,1,0,4096,9,166.0144
0,2,2,0,1,0,1024,9,165.5232
0,2,2,0,1,0,1024,9,165.5232
0,2,2,0,1,0,1024,9,165.5232
0,2,2,1,1,0,1024,9,163.9654
0,2,2,1,1,0,1024,9,163.9654
