ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,84716.6
0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,79197.4
0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,79284.2
0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,79284.2
0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,79284.2
0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,79284.2
0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,79284.2
0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,81501.0
0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,78049.4
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,79842.8
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,78201.8
1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,78196.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,79889.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,79197.4
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,79889.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,78049.4
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,84634.0
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,82143.0
0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,79197.4
0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,77520.6
0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,79889.6
0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,77298.4
0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,78604.0
0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,77298.4
0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,77298.4
0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,79980.0
1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,77965.0
0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,77298.4
0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,77137.0
0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,77137.0
0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,77137.0
0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,77137.0
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,76998.0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,73036.4
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,73036.4
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,73036.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,78966.0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,73036.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,77939.0
0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,73612.0
0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,78966.0
0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,73842.6
0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,73842.6
0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,74198.4
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,73036.4
0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,77076.6
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,77368.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,73036.4
0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,74198.4
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,73036.4
0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,75194.8
0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,75194.8
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,74791.0
0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,74198.4
0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,73842.6
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,79435.8
0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,76801.4
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,77368.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,74791.0
0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,76283.2
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,76283.2
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,73842.6
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,72453.4
