WindowSize,CompressionLevel,Performance
16,3,2.508
12,3,2.426
12,8,5.318
12,3,2.426
12,1,1.542
22,1,1.586
19,1,1.604
19,6,9.336
19,5,7.372
19,8,11.508
18,8,9.684
18,10,279.698
18,1,1.63
14,1,1.46
20,1,1.636
21,1,1.598
22,1,1.586
22,9,34.292
13,9,6.862
24,9,108.602
24,7,20.228
18,7,8.628
18,0,1.628
18,0,1.628
10,0,1.662
20,0,1.63
20,3,2.546
10,3,2.616
11,3,2.476
17,3,2.564
11,3,2.476
11,4,3.04
10,4,3.02
13,4,2.972
13,11,315.078
13,11,315.078
23,4,2.726
16,4,2.77
12,4,3.004
12,7,5.266
12,2,1.988
22,2,2.05
20,2,2.088
23,2,2.032
23,10,318.954
10,2,2.146
10,3,2.616
19,3,2.552
19,11,258.502
19,6,9.336
19,2,2.1
19,1,1.604
19,5,7.372
19,1,1.604
15,1,1.52
21,1,1.598
21,1,1.598
18,1,1.63
18,10,279.698
18,7,8.628
13,7,5.554
13,6,4.3
13,10,313.652
24,6,10.176
16,6,5.77
18,6,7.51
12,6,3.846
22,6,10.266
17,6,6.34
15,6,5.306
15,1,1.52
15,8,6.738
24,8,38.644
15,8,6.738
17,8,8.454
17,11,307.42
17,3,2.564
10,3,2.616
12,3,2.426
21,3,2.512
21,6,10.46
21,2,2.06
20,2,2.088
20,10,246.512
20,5,7.45
20,5,7.45
12,5,3.746
12,4,3.004
16,4,2.77
17,4,2.848
17,4,2.848
17,4,2.848
17,4,2.848
17,7,7.636
17,9,10.152
21,9,23.614
21,8,18.874
21,9,23.614
21,0,1.604
21,0,1.604
