topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.0148745204897
4,10,4,1000000,1,0,1,1000,1024,10000,2,29,0.00236265614297
4,10,4,1000000,1,0,1,1000,1024,10000,2,29,0.00236265614297
4,10,4,1000000,1,0,1,1000,1024,10000,2,29,0.00236265614297
4,10,4,1000000,1,0,1,1000,1024,10000,2,29,0.00236265614297
4,10,4,1000000,1,0,1,1000,1024,10000,5,29,0.000921912512273
4,10,4,1000000,1,0,1,1000,1024,10000,2,29,0.00236265614297
4,10,4,1000000,1,0,1,1000,1024,10000,2,29,0.00236265614297
4,1,4,1000000,1,0,1,1000,1024,10000,2,29,0.00196502179499
4,1,4,1000000,1,0,1,1000,1024,10000,2,29,0.00196502179499
4,1,4,1000000,1,0,1,1000,1024,10000,2,29,0.00196502179499
4,1,4,1000000,1,1,1,1000,1024,10000,2,29,0.00188603962998
4,1,4,1000000,1,1,1,1000,1024,10000,2,29,0.00188603962998
4,1,2,1000000,1,1,1,1000,1024,10000,2,29,0.00332950678361
4,1,2,1000000,1,1,1,1000,1024,10000,2,29,0.00332950678361
4,1,2,1000000,1,1,1,1000,1024,10000,2,29,0.00332950678361
4,10,2,1000000,1,1,1,1000,1024,10000,2,29,0.00296455471081
4,1,2,1000000,1,1,1,1000,1024,10000,2,29,0.00332950678361
4,1,2,1000000,1,1,1,1000,1024,10000,2,29,0.00332950678361
4,1,2,1000000,1,1,1,1000,1024,10000,2,29,0.00332950678361
4,1,2,1000000,1,1,1,1000,1024,10000,2,0,0.00324780109567
4,1,2,1000000,1,1,1,1000,1024,10000,2,0,0.00324780109567
4,1,2,1000000,1,1,1,1000,1024,10000,2,0,0.00324780109567
4,1,2,1000000,1,1,1,1000,1024,10000,2,0,0.00324780109567
4,1,2,1000000,1,1,1,1000,1024,10000,2,0,0.00324780109567
4,1,2,1000000,1,1,1,1000,1024,10000,2,29,0.00332950678361
4,1,2,1000000,1,1,1,1000,1024,10000,2,29,0.00332950678361
4,1,2,1000000,1,1,1,1000,1024,10000,2,29,0.00332950678361
4,1,2,1000000,1,1,1,1000,1024,10000,2,29,0.00332950678361
4,1,2,1000000,1,1,1,1000,1024,10000,2,29,0.00332950678361
4,1,2,10,1,1,1,1000,1024,10000,2,29,0.0147764736642
4,1,2,10,1,1,1,1000,1024,10000,2,29,0.0147764736642
4,10,2,10,1,1,1,1000,1024,10000,2,29,0.0143121130044
4,10,2,1000000,1,1,1,1000,1024,10000,2,29,0.00296455471081
4,10,2,1000000,1,1,1,1000,1024,10000,2,29,0.00296455471081
4,10,2,1000000,1,1,1,1000,1024,10000,2,29,0.00296455471081
4,10,2,1000000,1,1,1,1000,512,10000,2,29,0.00305443096755
4,10,2,1000000,1,1,1,1000,512,10000,2,29,0.00305443096755
4,10,2,1000000,1,1,1,1000,512,10000,5,29,0.000851100916057
4,10,2,1000000,1,1,1,1000,512,10000,5,29,0.000851100916057
4,10,2,1000000,1,1,1,1000,512,10000,5,29,0.000851100916057
4,1,2,1000000,1,1,1,1000,512,10000,5,29,0.000668624879654
4,1,2,1000000,1,1,1,1000,512,10000,5,29,0.000668624879654
4,1,2,1000000,1,1,1,1000,512,10000,5,29,0.000668624879654
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,1.49793761226e-05
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,1.49793761226e-05
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,1.49793761226e-05
4,1,2,10,1,1,1000,1000,512,10000,5,29,0.226742816368
4,1,4,10,1,1,1000,1000,512,10000,5,29,0.245095275641
4,1,4,10,1,1,1000,1000,512,10000,5,29,0.245095275641
4,1,4,10,1,1,1000,1000,512,10000,5,29,0.245095275641
4,1,4,10,1,1,1000,1000,512,10000,5,0,0.240849303391
4,1,4,10,1,1,1000,1000,512,10000,5,0,0.240849303391
4,1,4,10,1,1,1000,1000,512,10000,5,0,0.240849303391
4,1,4,10,10,1,1000,1000,512,10000,5,0,0.183367990163
4,1,4,10,10,1,1000,1000,512,10000,5,0,0.183367990163
4,1,4,10,10,1,1000,1000,512,10000,5,0,0.183367990163
4,1,4,10,10,1,1000,1000,512,10000,5,29,0.184939462894
4,1,4,10,10,1,1000,1000,512,10000,5,29,0.184939462894
4,1,4,10,10,1,1000,1000,512,10000,5,29,0.184939462894
4,10,4,10,10,1,1000,1000,512,10000,5,29,0.179715745912
4,10,4,10,1,1,1000,1000,512,10000,5,29,0.210942298081
4,10,4,10,1,1,1000,1000,512,10000,5,29,0.210942298081
4,10,4,10,1,1,1000,1000,512,10000,5,29,0.210942298081
4,10,4,10,1,1,1000,1000,512,10000,5,0,0.215494666661
4,10,4,10,1,1,1000,1000,512,10000,5,0,0.215494666661
4,10,4,10,1,1,1000,1000,512,10000,5,0,0.215494666661
4,10,4,1000000,1,1,1000,1000,512,10000,5,0,0.000129367339241
4,10,4,1000000,1,1,1000,1000,512,10000,5,0,0.000129367339241
4,10,4,1000000,1,1,1000,1000,512,10000,5,0,0.000129367339241
4,10,4,1000000,1,1,1000,1000,512,10000,5,0,0.000129367339241
4,10,4,1000000,1,1,1000,1000,512,10000,5,0,0.000129367339241
4,10,4,1000000,1,1,1000,1000,512,10000,5,0,0.000129367339241
4,10,4,1000000,1,0,1000,1000,512,10000,5,0,0.00118200895222
4,10,4,1000000,1,0,1000,1000,512,10000,5,0,0.00118200895222
4,10,4,1000000,1,1,1000,1000,512,10000,5,0,0.000129367339241
4,10,4,1000000,10,1,1000,1000,512,10000,5,0,0.000472531228595
4,10,4,1000000,10,1,1000,1000,512,10000,5,0,0.000472531228595
4,10,4,10,10,1,1000,1000,512,10000,5,0,0.181675320661
4,10,4,10,10,1,1000,1000,512,10000,5,0,0.181675320661
4,10,4,10,10,1,1000,1000,512,10000,5,0,0.181675320661
4,10,4,10,10,1,1,1000,512,10000,5,0,0.0785477631025
4,10,4,10,10,1,1,1000,512,10000,5,0,0.0785477631025
4,10,4,10,10,1,1,1000,512,10000,5,0,0.0785477631025
4,10,4,10,10,1,1,1000,512,10000,5,29,0.0782849431396
4,10,4,10,1,1,1,1000,512,10000,5,29,0.0141718515734
4,10,4,1000000,1,1,1,1000,512,10000,5,29,0.0
4,10,4,1000000,1,1,1,1000,512,10000,5,29,0.0
4,10,4,1000000,1,1,1,1000,512,10000,5,29,0.0
4,10,4,1000000,1,1,1,1000,512,10000,5,0,0.000908294897616
4,10,4,1000000,1,1,1,1000,512,10000,5,0,0.000908294897616
4,10,4,1000000,1,1,1,1000,512,10000,5,0,0.000908294897616
4,10,4,10,1,1,1,1000,512,10000,5,0,0.0138804346198
4,10,4,10,1,1,1,1000,512,10000,5,0,0.0138804346198
4,10,2,10,1,1,1,1000,512,10000,5,0,0.014287601298
4,10,2,10,1,1,1,1000,512,10000,5,0,0.014287601298
4,10,2,1000000,1,1,1,1000,512,10000,5,0,0.000832036255537
4,10,2,1000000,1,1,1,1000,512,10000,5,0,0.000832036255537
4,10,4,1000000,1,1,1,1000,512,10000,5,0,0.000908294897616
4,10,4,1000000,1,1,1,1000,512,10000,5,0,0.000908294897616
