new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,3,1,0,1,0,0,1,0,0,95.386
2,3,1,0,1,0,0,0,0,0,86.416
2,2,1,0,1,0,0,0,0,0,64.352
2,2,1,0,1,0,0,0,0,1,64.338
2,2,2,0,1,0,0,0,0,1,64.606
2,2,2,0,1,0,0,0,0,1,64.606
2,2,2,0,1,0,0,0,0,1,64.606
2,2,2,0,1,0,0,0,0,1,64.606
2,2,2,0,1,0,0,1,0,1,70.79
2,2,2,0,1,0,0,1,0,1,70.79
2,2,2,1,1,0,0,1,0,1,66.818
2,2,2,1,1,0,0,1,0,1,66.818
2,2,2,0,1,0,0,1,0,1,70.79
2,2,2,0,1,0,0,1,0,1,70.79
2,2,2,0,1,0,0,0,0,1,64.606
2,2,2,0,1,0,0,0,0,1,64.606
2,2,2,0,0,0,0,0,0,1,65.636
3,2,2,0,0,0,0,0,0,1,46.334
3,2,2,0,0,0,0,0,0,1,46.334
3,2,2,0,0,0,0,0,0,1,46.334
3,2,2,0,1,0,0,0,0,1,46.06
3,2,2,0,1,0,0,0,0,1,46.06
3,2,2,0,1,0,0,1,0,1,50.438
3,2,2,0,1,0,0,1,0,1,50.438
3,2,2,0,1,0,0,1,0,1,50.438
3,2,3,0,1,0,0,1,0,1,49.448
3,2,3,0,1,0,0,1,0,1,49.448
1,2,3,0,1,0,0,1,0,1,134.09
3,2,3,0,1,0,0,0,0,1,45.934
3,2,1,0,1,0,0,0,0,1,44.76
3,2,1,0,1,0,0,0,0,1,44.76
3,2,1,0,1,0,0,0,0,1,44.76
3,2,1,0,1,0,0,0,0,1,44.76
3,2,1,0,0,0,0,0,0,1,45.586
3,2,1,0,0,0,0,0,0,1,45.586
1,2,1,0,0,0,0,0,0,1,122.568
3,2,1,0,0,0,1,0,0,1,50.148
3,2,1,0,0,0,1,0,1,1,43.438
3,2,1,0,0,1,1,0,1,1,43.634
3,2,3,0,0,1,1,0,1,1,44.33
3,3,3,0,0,1,1,0,1,1,59.28
3,2,3,0,0,1,1,0,1,1,44.33
3,2,3,0,0,1,1,0,1,1,44.33
3,2,3,0,0,1,1,0,1,1,44.33
3,2,3,0,0,1,1,0,1,0,44.486
3,2,3,0,0,1,1,0,1,0,44.486
1,2,3,0,0,1,1,0,1,0,118.026
3,2,3,0,0,1,1,0,1,0,44.486
3,2,3,0,0,1,1,0,1,0,44.486
3,2,2,0,0,1,1,0,1,0,43.992
3,2,2,0,1,1,1,0,1,0,43.85
3,2,2,0,1,1,1,0,1,0,43.85
3,2,2,0,1,1,1,0,1,0,43.85
3,2,2,0,1,1,1,0,1,0,43.85
3,2,2,1,1,1,1,0,1,0,41.478
3,2,2,1,1,1,1,0,0,0,47.138
3,2,2,1,1,1,1,0,0,0,47.138
3,2,3,1,1,1,1,0,0,0,47.534
3,2,3,1,1,1,1,1,0,0,50.296
3,2,3,1,1,1,1,1,0,0,50.296
3,2,3,1,1,1,1,1,0,0,50.296
3,2,3,1,1,1,1,0,0,0,47.534
1,2,3,1,1,1,1,0,0,0,123.422
2,2,3,1,1,1,1,0,0,0,66.384
2,2,3,1,1,0,1,0,0,0,65.962
2,2,3,1,1,0,1,0,0,0,65.962
2,2,3,1,1,0,1,0,0,0,65.962
2,1,3,1,1,0,1,0,0,0,43.288
2,1,3,1,1,0,1,0,0,0,43.288
2,1,3,1,0,0,1,0,0,0,44.502
2,1,3,0,0,0,1,0,0,0,47.166
2,1,3,0,0,1,1,0,0,0,47.18
2,1,3,0,0,1,1,1,0,0,50.054
2,1,3,0,0,1,1,0,0,0,47.18
2,1,3,1,0,1,1,0,0,0,44.616
2,1,3,1,0,1,1,0,0,0,44.616
2,1,3,1,0,1,1,0,0,0,44.616
2,1,3,1,0,1,1,0,0,0,44.616
3,1,3,1,0,1,1,0,0,0,31.134
3,1,3,1,0,1,1,0,1,0,31.342
3,1,3,1,0,1,1,0,1,0,31.342
3,1,1,1,0,1,1,0,1,0,29.768
3,1,1,1,0,1,1,0,1,0,29.768
3,1,1,1,0,1,1,0,1,0,29.768
3,1,2,1,0,1,1,0,1,0,30.64
3,1,2,1,0,1,1,0,1,0,30.64
3,1,2,1,0,1,1,0,1,0,30.64
3,1,2,1,0,1,1,0,1,1,30.368
3,1,2,1,0,1,1,0,1,1,30.368
4,1,2,1,0,1,1,0,1,1,23.338
4,1,2,1,1,1,1,0,1,1,22.664
4,1,2,1,1,1,1,0,0,1,22.816
4,1,2,1,1,1,1,0,0,1,22.816
4,1,2,1,1,0,1,0,0,1,22.486
3,1,2,1,1,0,1,0,0,1,29.414
3,1,2,1,1,0,1,1,0,1,31.288
3,1,3,1,1,0,1,1,0,1,31.128
3,1,3,1,1,0,0,1,0,1,30.828
3,1,3,0,1,0,0,1,0,1,33.34
3,1,3,0,1,0,0,1,0,1,33.34
