new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,1,1,0,0,80,64,4,12751.6
2,1,0,0,0,60,4096,0,4756.4
5,1,1,1,1,10,256,4,9167.4
5,0,1,1,1,40,1,10,298058.8
2,1,0,1,1,90,8,4,12275.6
4,0,0,1,0,80,8,8,124708.8
5,0,0,0,0,100,256,2,9143.2
1,1,1,1,0,100,4,2,17693.6
1,0,1,0,1,60,256,0,17711.0
3,0,0,0,1,100,4096,6,10632.8
1,1,0,0,0,60,4,8,80758.0
1,0,0,1,0,70,8,4,12116.8
4,0,0,0,0,50,32,6,19746.6
1,1,1,0,0,70,16,6,84249.0
2,1,0,0,0,30,1,2,11245.6
5,0,1,0,0,90,2048,6,47469.2
4,0,0,1,1,30,4,0,35860.8
3,1,0,1,0,70,2,0,13086.0
3,0,1,0,0,30,256,0,12109.6
4,1,0,1,0,30,4,2,35708.8
4,1,1,0,1,0,4,8,75934.2
2,1,1,0,0,0,256,8,85597.6
3,1,1,0,0,40,4,6,13545.4
3,0,0,0,0,0,64,2,15938.6
5,1,0,0,0,60,512,8,122444.6
2,0,1,0,0,0,1,4,17949.2
5,0,0,0,1,30,32,8,122099.0
2,1,1,1,1,60,512,4,11852.4
1,0,0,1,0,100,128,2,17705.2
2,1,0,0,1,70,256,4,4382.4
4,0,1,0,1,80,512,0,8909.4
1,1,0,0,1,20,1,8,83460.4
3,0,1,1,0,10,128,4,12392.2
1,1,1,0,1,100,256,8,101630.4
5,0,0,1,1,0,256,8,120943.4
5,1,1,1,1,100,32,2,9175.4
4,1,0,0,1,60,512,6,19377.0
4,0,1,0,0,10,1024,2,9246.2
5,1,1,1,0,90,8,10,297729.4
1,0,0,0,1,10,32,0,17770.4
5,0,1,0,1,70,1024,6,47644.0
2,0,1,0,0,60,512,2,4707.4
4,0,0,1,1,40,16,4,43476.6
4,0,1,0,0,90,4,2,9347.2
5,0,1,0,1,60,512,2,9225.4
4,1,0,0,1,50,256,6,19517.4
3,1,0,1,1,70,128,8,38045.0
3,1,1,1,0,100,16,6,11214.8
5,1,0,0,0,70,256,10,301105.8
3,0,0,1,0,20,512,6,10945.2
2,0,1,0,0,20,8,2,5298.2
4,1,1,0,1,100,4,4,14609.2
1,0,1,1,1,30,512,8,103424.4
3,0,1,1,1,70,8,2,12417.8
2,1,0,0,0,70,4096,2,4766.6
4,1,0,0,1,50,1024,4,13081.0
3,1,1,1,0,80,256,0,12179.2
4,1,1,1,1,10,4,6,48259.8
5,0,1,1,1,70,8,4,9208.6
2,1,0,1,1,10,2048,4,12427.0
4,1,1,1,1,30,256,8,124263.6
3,0,1,0,1,50,4,4,12877.2
4,1,1,0,1,50,2,6,26327.2
4,0,0,1,1,70,1024,4,43511.8
5,0,0,1,1,40,64,2,9173.2
5,0,1,1,0,0,8,2,9258.2
5,0,0,1,1,60,2048,6,47602.8
2,0,0,0,1,20,256,10,101374.6
1,1,1,1,1,10,256,10,105642.4
1,0,0,1,1,80,2,2,17699.2
2,0,1,0,1,20,256,10,101023.0
2,1,1,1,1,40,16,0,17696.0
3,1,1,0,0,40,1024,6,10682.4
3,0,1,0,0,20,1024,8,38618.6
4,1,0,1,0,40,512,8,124832.6
2,1,1,0,0,40,1024,4,4576.4
1,0,0,1,0,90,1024,10,102855.0
2,1,0,0,1,100,128,10,101453.4
2,1,0,1,1,20,16,6,93812.2
1,1,1,1,0,30,16,8,105455.0
2,1,0,1,0,60,256,4,11876.6
3,0,0,1,1,50,512,4,12144.8
3,0,0,1,0,30,1024,6,10648.2
3,1,0,0,0,60,2,10,49123.6
3,1,1,1,0,70,128,10,48466.0
3,0,1,1,1,40,16,10,48074.0
1,0,1,1,1,40,8,6,98639.2
4,0,1,0,0,80,1024,8,39271.0
5,0,1,0,1,20,4,0,9099.0
5,1,0,1,0,100,4096,10,300623.2
5,1,0,1,0,10,1024,8,121425.2
3,1,0,1,0,90,2,0,13103.8
1,1,1,0,1,20,4096,2,17690.0
1,1,0,1,1,60,256,4,11788.4
5,1,0,0,1,70,128,0,9197.8
5,0,1,1,0,70,8,8,121230.2
2,0,1,1,0,80,64,2,17665.4
3,1,0,1,1,60,32,8,37856.2
4,1,0,1,0,50,2048,8,124963.4
3,1,1,0,0,60,16,2,12370.4
