new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,1,1,0,1,1,1024,5,337.4748
0,2,2,1,1,0,4096,0,337.4748
0,2,2,0,1,1,2048,1,167.317
0,1,1,0,1,1,2048,1,337.4748
1,0,2,2,1,0,1024,1,337.4748
1,0,1,2,1,0,4096,0,337.4748
1,2,2,1,0,0,2048,1,168.218
1,1,2,2,1,1,512,0,32.3934
0,2,1,2,1,1,2048,1,337.4748
0,2,1,1,1,1,1024,0,337.4748
1,0,2,1,0,0,512,1,337.4748
0,0,2,2,0,1,512,1,337.4748
0,2,1,1,1,1,2048,0,337.4748
1,1,1,2,0,0,2048,5,337.4748
0,0,1,0,0,1,2048,5,337.4748
1,2,1,1,1,1,512,9,337.4748
0,1,1,0,0,1,512,9,337.4748
0,1,1,0,0,1,4096,0,32.8334
0,0,2,0,0,0,512,1,337.4748
1,0,1,2,1,0,4096,5,337.4748
0,2,1,2,1,1,512,5,337.4748
0,2,1,2,0,0,1024,1,337.4748
1,0,2,1,1,1,2048,5,337.4748
1,2,2,1,0,1,512,0,337.4748
1,1,1,0,1,0,1024,0,31.9774
1,0,2,0,0,0,512,1,337.4748
0,0,2,1,0,0,4096,0,164.4548
1,2,1,0,0,0,1024,0,337.4748
0,0,2,1,1,0,2048,5,337.4748
1,2,1,2,0,0,4096,5,337.4748
0,1,1,1,1,1,512,1,337.4748
0,1,2,1,1,0,512,5,337.4748
0,2,1,0,1,0,1024,5,167.7964
0,1,1,1,0,1,512,9,337.4748
1,0,2,2,0,0,512,5,337.4748
1,0,2,0,1,1,4096,5,337.4748
0,2,1,1,0,0,512,1,337.4748
1,2,1,2,1,1,1024,1,337.4748
1,1,2,1,0,1,512,1,337.4748
0,0,1,2,1,1,1024,5,337.4748
1,1,2,1,0,0,4096,0,32.6976
1,2,1,1,0,1,512,9,337.4748
0,1,2,2,0,1,512,5,337.4748
1,0,1,1,0,0,4096,0,337.4748
1,2,1,1,1,0,2048,5,337.4748
0,1,1,2,0,1,4096,0,337.4748
1,1,2,1,0,1,4096,1,337.4748
1,1,1,0,1,1,2048,9,337.4748
1,2,2,1,0,1,1024,0,337.4748
1,0,1,1,0,0,1024,1,337.4748
0,1,2,1,1,1,1024,5,337.4748
0,1,1,2,1,1,512,9,337.4748
1,1,2,0,1,0,1024,1,337.4748
0,0,2,2,1,0,1024,0,161.9528
0,1,2,2,1,0,4096,0,31.3372
0,2,1,0,1,1,1024,5,165.5956
1,2,2,1,1,0,4096,1,167.3408
0,1,2,2,1,1,2048,9,337.4748
1,2,2,1,0,1,1024,1,166.5726
1,0,2,1,1,0,4096,1,337.4748
0,1,1,1,0,1,1024,5,337.4748
1,2,1,2,0,0,512,0,337.4748
0,2,2,2,1,1,512,9,164.4566
1,0,2,2,1,0,1024,9,337.4748
1,2,1,1,1,1,2048,0,337.4748
1,2,1,1,1,1,1024,0,337.4748
0,2,2,1,1,0,2048,1,167.133
1,1,2,0,0,0,1024,9,337.4748
0,1,1,0,0,0,2048,1,337.4748
1,0,1,0,0,0,1024,9,337.4748
1,0,2,0,1,0,4096,0,167.101
0,0,2,2,1,1,512,1,337.4748
0,0,2,0,1,0,1024,9,337.4748
1,1,1,1,0,1,2048,0,337.4748
0,0,1,0,1,1,4096,9,337.4748
1,0,1,1,0,0,512,5,337.4748
0,2,2,0,1,0,1024,0,337.4748
0,0,2,0,1,0,4096,0,164.9116
1,0,2,2,0,0,512,9,337.4748
1,1,2,0,0,1,2048,0,32.0286
1,1,2,0,0,1,4096,1,337.4748
0,0,2,1,0,1,4096,5,337.4748
1,1,1,2,1,0,1024,0,337.4748
1,0,2,2,1,1,512,0,166.1112
1,1,2,2,0,0,2048,1,337.4748
0,1,2,2,1,0,4096,9,337.4748
1,2,1,0,1,1,512,5,167.95
1,0,2,1,0,0,512,5,337.4748
1,2,1,2,1,0,1024,1,337.4748
1,1,2,0,0,1,1024,9,337.4748
1,2,2,2,1,0,2048,1,164.4126
1,1,1,0,0,1,2048,5,337.4748
1,1,2,1,0,0,2048,5,337.4748
1,2,2,2,1,0,1024,5,165.5138
0,0,1,2,0,0,2048,1,337.4748
0,1,2,0,1,1,512,0,31.4334
0,2,1,1,0,1,4096,0,337.4748
0,2,2,1,0,0,2048,9,165.6608
1,0,2,1,0,0,512,5,337.4748
1,2,2,2,1,0,512,9,165.0668
