ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,86583.0
1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,81522.4
0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,88979.6
0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,76728.6
1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,85369.4
1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,93270.4
1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,64392.0
1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,88610.0
0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,71799.0
1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,74313.2
1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,71078.6
0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,84653.4
1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,68016.6
0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,90269.0
1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,70498.8
0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,74439.0
1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,69666.8
0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,86541.8
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,58846.2
1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,66739.6
0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,87354.2
1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,81605.8
1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,89100.8
0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,72057.6
1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,89829.2
0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,80255.4
0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,89310.4
0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,71654.2
1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,70319.0
1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,67045.6
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,66155.6
1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,84300.2
1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,80819.4
1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,74942.8
1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,76383.2
0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,80388.4
0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,91693.8
1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,76614.6
1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,67574.2
0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,83688.2
1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,70709.4
1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,70211.4
0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,68711.6
0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,84887.8
1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,95969.6
0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,76751.2
0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,84996.0
1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,72200.6
0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,78480.2
1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,84877.2
1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,90107.8
1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,74470.2
0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,68410.4
0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,61271.2
0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,84368.8
0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,80749.6
1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,76939.0
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,80366.6
1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,96361.0
1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,85506.0
1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,86719.0
0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,85056.6
0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,90020.0
0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,60786.6
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,71457.0
1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,81709.8
1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,61500.0
0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,68081.0
1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,83926.4
