fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,0,0,1,1,256,8,256,135852.4
0,0,1,1,1,128,2,4096,46785.8
0,1,1,1,0,64,8,256,46687.4
1,1,1,0,1,64,8,4096,127743.8
1,0,0,1,0,256,8,4096,131930.8
0,0,1,0,0,256,2,4096,46143.4
1,1,1,1,0,128,8,1024,129666.0
1,0,1,1,0,64,32,256,140165.6
1,0,0,1,0,128,32,4096,133001.4
0,0,1,1,1,64,2,256,46643.2
0,1,1,1,0,256,8,256,46539.6
0,1,1,1,0,64,8,256,46687.4
0,0,0,0,0,128,2,4096,46501.2
0,0,1,1,1,256,32,256,46605.0
1,0,0,1,1,64,32,1024,131342.8
1,0,0,1,1,128,2,1024,136545.2
0,0,0,1,0,128,2,256,46486.8
0,1,0,0,1,256,8,4096,46133.4
0,0,1,0,0,64,2,4096,46095.0
1,1,1,0,1,64,32,1024,130145.2
1,1,1,1,0,128,8,256,130678.4
1,1,1,1,0,128,32,256,130071.2
1,0,1,1,1,64,2,256,135234.0
1,1,1,1,1,256,2,4096,127524.8
1,1,1,1,0,128,2,4096,127278.2
1,0,1,0,1,256,32,4096,138982.6
0,1,0,0,0,64,2,256,46500.4
1,0,0,1,0,128,2,1024,131781.2
0,0,1,0,1,64,8,256,46344.4
1,0,1,0,1,256,32,4096,138982.6
1,0,1,0,0,128,32,4096,137057.4
0,1,0,0,0,128,2,1024,46240.8
0,1,1,1,0,128,2,1024,46400.2
1,1,0,1,1,256,32,1024,127450.4
0,1,0,0,1,128,2,1024,46099.4
1,0,1,0,0,64,2,1024,135076.2
0,0,1,1,0,256,32,1024,47774.0
1,1,1,0,0,128,2,4096,133944.0
1,0,0,1,1,64,2,1024,133912.8
0,0,0,1,1,128,2,1024,46407.8
0,0,0,1,0,64,2,1024,46287.8
0,1,1,0,1,128,8,4096,46460.8
0,1,1,0,1,128,2,256,46285.6
1,0,0,0,1,256,8,4096,131261.2
0,0,0,0,0,256,2,1024,46194.6
1,1,0,1,1,256,2,1024,130103.4
1,0,1,1,0,128,32,1024,138660.8
0,0,0,1,1,64,2,1024,46426.0
1,0,1,1,0,128,8,4096,136843.8
1,0,0,1,1,256,2,1024,135362.8
0,0,0,0,0,128,8,256,46204.0
0,0,0,0,1,128,2,256,47198.6
1,0,1,1,1,64,2,256,135234.0
0,1,1,1,1,256,32,256,46982.0
1,0,1,0,1,256,32,1024,134690.4
1,1,1,0,0,128,2,1024,135272.2
0,0,1,0,0,128,32,4096,46233.6
1,0,1,0,1,64,2,256,134987.2
1,1,0,1,0,64,32,256,133072.4
0,1,1,0,0,256,8,4096,46382.8
0,0,1,0,0,256,32,4096,46148.2
1,1,0,0,1,128,8,4096,133286.0
0,0,0,1,1,256,32,1024,46368.4
1,1,1,0,0,64,2,1024,129472.0
0,1,0,0,0,128,2,1024,46240.8
1,1,0,1,1,64,8,1024,125966.2
1,1,0,0,1,256,2,4096,132262.2
1,1,1,0,1,64,2,1024,132269.2
1,0,1,0,1,128,32,256,134666.4
0,1,1,0,1,256,8,4096,46207.2
0,1,0,0,0,256,2,4096,46096.4
1,1,0,0,0,256,8,1024,132666.2
1,1,0,1,1,128,8,4096,126456.8
1,1,0,1,1,256,32,1024,127450.4
1,0,1,1,1,64,32,256,139137.0
0,1,1,1,1,256,2,256,46692.8
0,1,0,1,0,256,32,1024,47549.4
1,0,0,0,1,256,8,256,136333.8
0,0,0,1,0,256,32,1024,46419.0
1,0,1,1,0,64,8,4096,139204.2
0,0,1,1,1,256,2,1024,47568.6
1,1,0,1,0,128,32,256,132344.8
0,0,1,1,1,256,2,1024,47568.6
0,0,1,0,0,256,32,4096,46148.2
0,0,0,1,0,256,8,256,46388.8
0,1,0,1,0,256,8,4096,46431.0
1,0,1,0,0,128,8,4096,133337.6
0,1,1,1,0,64,32,1024,46801.8
0,1,1,0,0,128,32,1024,46311.2
0,1,0,1,1,64,2,4096,46521.2
0,1,1,0,1,64,2,1024,46614.4
0,0,1,0,1,64,2,1024,46185.2
0,1,1,1,1,128,8,1024,46970.2
1,1,0,0,1,128,2,1024,130383.4
1,0,0,1,1,256,32,1024,135168.4
1,1,0,0,0,64,32,1024,132129.6
1,0,1,1,1,64,8,1024,142008.0
0,1,0,1,1,128,2,4096,46322.4
0,0,0,0,1,64,8,4096,46327.8
1,1,0,0,1,64,8,4096,133183.8
