WindowSize,CompressionLevel,Performance
16,3,2.508
17,9,10.152
21,11,244.72
22,3,2.5
15,0,1.534
13,4,2.972
19,7,10.05
14,8,6.086
12,5,3.746
19,9,14.048
23,5,7.178
22,2,2.05
18,2,2.094
12,6,3.846
14,11,301.078
15,6,5.306
24,0,1.574
10,9,6.246
23,0,1.556
13,7,5.554
10,8,5.046
19,3,2.552
11,11,343.996
24,4,2.708
18,2,2.094
10,2,2.146
10,10,363.364
10,10,363.364
21,1,1.598
21,6,10.46
20,6,10.658
21,9,23.614
10,0,1.662
23,0,1.556
20,10,246.512
16,7,6.998
20,7,12.338
24,5,7.154
13,10,313.652
20,1,1.636
10,10,363.364
18,3,2.562
16,8,7.548
13,8,5.62
15,2,1.972
15,4,2.834
13,2,1.942
14,11,301.078
20,11,246.08
19,1,1.604
13,0,1.514
16,10,285.0
15,5,5.072
14,9,7.404
24,1,1.57
20,8,14.64
12,9,6.47
24,6,10.176
12,11,328.552
11,7,5.078
16,5,5.392
13,10,313.652
12,8,5.318
15,10,291.618
15,4,2.834
16,11,284.296
22,0,1.596
14,10,301.488
13,7,5.554
22,5,7.198
17,5,5.886
23,0,1.556
13,0,1.514
15,3,2.392
11,7,5.078
21,11,244.72
24,6,10.176
12,10,328.816
23,7,20.474
23,9,63.68
10,5,3.306
19,1,1.604
13,9,6.862
20,4,2.808
23,10,318.954
23,7,20.474
19,6,9.336
18,5,6.714
15,4,2.834
13,6,4.3
16,2,2.026
15,6,5.306
19,1,1.604
24,0,1.574
14,3,2.302
21,8,18.874
21,2,2.06
16,6,5.77
23,7,20.474
12,5,3.746
