topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,1,2,1000000,1,0,1000,1000,1024,100,2,0,2.0
2,1,2,1000000,1,1,1000,10,512,100,5,29,2.0
2,10,2,1000000,10,1,1,1000,1024,10000,5,29,2.0
4,1,4,1000000,10,1,1,1000,1024,10000,2,29,0.00549743103699
2,10,4,10,1,0,1000,1000,1024,100,2,0,2.0
2,1,4,10,1,1,1,1000,1024,100,2,29,2.0
4,1,2,10,10,0,1,10,512,100,5,29,0.0881835872338
4,10,2,10,10,1,1,1000,1024,10000,5,29,0.082400186289
4,10,4,1000000,1,1,1,10,1024,100,2,29,0.00229729159262
2,1,4,1000000,1,1,1000,1000,512,100,5,0,2.0
4,10,4,10,1,1,1,10,512,100,5,0,0.0144373950593
4,10,4,10,1,0,1000,1000,1024,10000,2,29,0.716754976898
2,1,4,10,10,0,1000,10,1024,10000,5,0,2.0
2,1,4,1000000,10,1,1,1000,512,10000,2,0,2.0
4,1,2,1000000,10,1,1000,1000,512,100,2,0,2.0
4,10,2,1000000,10,0,1000,1000,1024,100,2,29,2.0
4,10,4,10,1,0,1000,10,1024,100,2,29,0.685785797645
4,1,4,10,1,0,1,1000,1024,100,5,0,2.0
2,10,4,10,10,0,1,10,512,10000,2,0,2.0
4,10,2,10,1,1,1000,1000,1024,100,5,0,2.0
4,1,2,1000000,1,1,1000,10,512,100,5,29,2.0
2,10,4,10,1,1,1000,1000,1024,10000,5,29,0.299120438269
2,10,2,10,10,1,1000,1000,512,10000,5,0,0.30751978299
4,10,4,10,1,1,1000,1000,512,10000,2,29,0.718788086766
4,1,2,10,10,1,1,10,512,100,2,0,0.143913675217
4,1,2,10,10,0,1000,1000,1024,10000,5,29,0.21886638805
4,10,2,1000000,10,1,1,1000,512,100,2,0,2.0
2,10,4,10,1,0,1,10,512,10000,2,29,2.0
4,1,4,1000000,10,0,1000,10,512,10000,5,29,2.0
2,10,4,10,1,1,1,10,512,10000,5,29,2.0
4,1,2,10,1,1,1,10,1024,100,5,0,0.0144809714262
4,10,2,1000000,1,1,1000,1000,512,10000,5,29,2.0
4,10,4,10,10,0,1,10,512,10000,5,29,2.0
2,10,2,1000000,10,1,1000,10,512,10000,5,0,2.0
4,1,2,1000000,1,1,1000,10,512,10000,5,0,2.0
2,10,2,10,10,0,1000,1000,512,100,2,0,2.0
2,1,4,1000000,10,0,1,1000,512,100,5,0,2.0
2,10,4,1000000,1,0,1000,1000,1024,100,2,0,2.0
4,10,2,1000000,10,0,1000,1000,1024,100,2,29,2.0
4,10,4,1000000,10,0,1,10,1024,10000,2,29,2.0
2,10,4,10,1,1,1000,10,512,100,2,0,0.891786263367
4,1,2,1000000,10,1,1000,10,512,10000,5,29,2.0
4,1,2,10,10,1,1000,10,512,100,5,0,0.210217840982
4,10,4,10,10,1,1,1000,512,10000,5,0,0.0785477631025
2,10,2,1000000,10,1,1000,1000,1024,100,2,29,2.0
4,1,4,10,1,0,1000,10,512,10000,5,0,2.0
4,10,4,1000000,10,0,1000,10,512,10000,2,29,2.0
4,1,4,10,1,1,1,1000,1024,100,2,29,2.0
4,1,4,1000000,10,0,1,10,1024,100,2,0,0.002421211886
