new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,1,3,0,1,1,0,1,0,0,49.002
3,1,2,1,1,0,0,1,0,1,30.908
3,2,3,0,0,0,1,1,1,0,46.122
2,2,2,0,1,0,0,0,1,1,57.944
2,2,3,1,0,1,1,1,1,1,63.276
1,2,1,1,1,0,1,0,0,1,122.382
2,2,2,0,0,0,0,0,0,0,65.822
1,1,1,1,1,1,1,1,1,1,87.212
1,3,1,1,0,0,0,0,0,0,157.302
1,3,3,1,0,0,1,1,0,0,184.768
4,1,1,0,0,1,0,1,0,1,25.246
2,3,2,1,0,0,1,0,0,1,92.588
2,2,1,1,0,1,1,0,0,0,66.294
1,2,2,0,1,0,0,1,1,0,118.32
4,3,3,1,1,0,1,0,0,0,47.858
3,1,1,0,0,1,1,0,0,1,31.824
2,3,1,1,0,1,1,0,0,1,92.83
2,3,3,0,0,0,1,1,1,1,87.99
1,3,2,1,0,0,0,1,1,0,147.838
1,1,2,1,0,1,0,0,0,1,81.4
3,2,2,0,1,0,0,1,1,1,42.93
3,3,1,1,0,0,1,0,1,0,56.496
3,2,3,1,1,0,1,0,1,0,42.09
2,1,2,0,0,1,0,0,1,1,46.054
1,3,2,0,1,0,0,0,0,1,163.246
1,3,2,0,1,1,0,1,1,1,152.756
2,3,1,0,0,1,1,0,1,1,83.392
2,2,2,0,0,0,1,0,1,0,63.17
4,1,1,1,0,0,1,0,1,1,22.622
4,3,1,1,0,0,1,1,0,1,50.398
4,1,1,0,1,1,0,0,1,1,23.274
4,1,1,0,1,1,0,0,1,1,23.274
1,2,2,1,1,0,0,1,0,1,126.302
2,3,3,1,0,0,1,0,1,0,81.888
1,1,2,0,0,0,0,0,0,0,86.002
1,3,3,0,0,1,1,0,0,1,182.676
1,2,2,0,1,0,1,1,0,1,140.74
3,3,2,0,1,0,0,0,0,0,60.784
1,3,2,0,1,1,0,1,1,1,152.756
4,2,2,1,1,1,0,0,1,1,28.67
1,2,3,1,1,0,1,0,1,1,111.482
2,2,1,0,0,0,1,1,1,0,66.55
3,1,2,1,0,1,0,1,1,0,31.564
2,1,3,1,0,0,1,1,0,1,47.436
1,2,3,0,1,0,1,1,1,0,124.196
3,2,2,1,0,1,0,1,0,0,46.97
4,2,3,0,0,1,0,0,0,0,34.992
3,3,2,1,0,1,1,1,1,1,59.254
1,2,2,1,0,0,0,1,0,0,127.44
2,1,2,1,0,1,1,0,1,0,43.96
4,2,3,0,0,0,0,1,0,1,36.574
1,3,3,1,0,1,0,0,0,1,158.828
1,1,2,1,1,1,0,0,0,0,79.18
1,2,1,1,0,1,1,1,0,0,133.818
3,2,1,1,0,0,0,1,0,1,46.942
2,3,1,0,1,0,1,1,1,1,87.584
2,1,1,1,0,0,0,1,0,1,46.77
3,2,2,0,1,1,1,1,0,1,53.392
1,1,2,1,1,1,1,0,0,1,80.34
4,3,3,1,0,0,1,0,0,0,48.636
3,3,1,0,0,0,0,0,0,0,61.63
1,1,1,1,1,1,0,1,0,1,86.582
1,3,1,0,1,1,0,1,0,0,180.946
2,3,1,0,0,1,1,1,1,0,87.82
4,3,1,0,1,0,0,0,1,1,38.466
1,2,1,1,1,0,1,1,0,0,131.712
1,2,2,1,0,1,0,0,0,0,116.96
1,3,2,1,1,1,0,1,0,0,172.216
3,3,2,0,0,1,1,0,0,0,71.418
2,2,3,0,0,0,0,1,0,1,71.684
2,2,1,0,1,0,0,1,0,0,70.406
2,1,1,0,0,1,0,1,0,1,49.936
1,1,1,0,0,0,1,0,0,1,86.836
2,1,1,1,1,0,0,1,0,1,45.826
1,3,3,1,0,0,0,0,0,1,158.034
2,1,3,0,0,0,0,1,1,0,49.77
4,1,3,0,0,1,0,0,0,0,24.782
2,1,3,0,1,0,0,0,1,1,45.668
3,1,3,1,0,0,0,0,1,0,30.772
1,1,1,0,1,0,0,0,0,0,84.07
4,3,1,0,1,0,0,0,1,0,38.51
4,3,3,0,0,1,1,1,1,1,44.714
2,3,3,1,1,1,1,0,0,0,92.482
3,2,2,1,1,0,1,1,1,1,43.614
1,3,3,0,1,1,0,0,1,0,142.316
2,1,1,1,0,0,1,0,1,0,43.474
2,3,2,1,1,1,0,0,1,1,72.078
2,1,2,1,1,0,0,0,0,1,42.21
4,3,3,0,1,1,0,0,0,1,45.884
4,2,3,0,1,0,1,1,1,0,33.452
3,1,3,1,1,0,0,0,1,0,29.896
2,1,2,0,1,0,1,0,1,0,45.836
1,1,1,0,0,0,0,1,0,0,94.052
2,1,2,1,0,0,0,1,1,1,46.968
2,3,3,1,1,1,1,1,1,0,83.976
3,1,1,0,0,0,0,1,1,0,33.816
2,2,1,0,0,1,1,0,0,1,69.798
4,3,3,1,0,0,0,1,1,0,39.576
3,1,1,0,0,0,1,1,0,0,33.984
3,1,2,0,1,0,1,0,1,1,31.35
