new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
3,0,1,0,0,30,64,10,48589.6
5,0,0,1,1,0,16,0,9190.6
4,0,1,1,1,60,512,0,35756.8
4,0,0,0,1,80,1,6,34790.8
5,0,0,1,1,20,128,6,47597.8
5,0,0,0,0,90,64,8,121882.8
3,0,1,0,0,80,2,10,48908.8
5,1,1,1,0,80,32,6,47528.4
4,1,1,0,1,80,4,0,9471.4
2,1,1,1,0,0,4,2,17941.0
1,0,1,1,1,90,32,6,91858.8
3,0,1,1,1,10,2,6,15669.6
1,1,0,0,0,50,2,8,79918.6
5,0,1,0,1,20,256,10,299699.0
5,1,0,1,0,30,32,6,47732.8
5,0,0,1,0,40,1024,10,302306.2
5,0,0,0,1,80,16,0,9150.2
3,0,1,0,1,70,2048,8,37978.2
2,1,0,0,0,20,512,10,101454.2
4,1,1,0,1,100,64,6,19407.2
5,0,0,0,0,0,4096,10,298081.2
4,1,1,1,0,80,2048,2,35768.8
3,0,0,0,0,40,64,10,48728.4
3,0,1,0,1,50,8,2,12420.2
2,1,1,1,0,60,512,2,17606.0
4,1,1,0,1,90,512,6,19425.0
3,0,0,1,0,50,1024,8,38176.4
1,1,0,0,0,80,4096,0,17733.8
5,0,1,0,0,20,1,4,9252.8
2,1,1,1,1,60,2048,8,102682.6
5,1,0,0,0,70,256,8,122024.0
2,1,0,0,1,40,4,10,80764.0
1,1,0,1,0,100,1,10,125731.8
1,1,1,1,0,20,512,0,17705.8
5,0,0,0,1,40,1024,10,302458.0
4,1,1,0,0,10,8,0,9368.6
1,1,1,1,1,10,64,2,17704.2
4,1,1,0,0,0,512,6,27549.6
4,1,0,0,0,10,4,4,15039.6
2,1,0,0,1,70,128,8,100438.2
2,1,0,0,0,40,1024,8,101810.6
1,0,0,0,1,50,1,6,78654.8
3,1,1,0,0,40,2,8,39147.0
4,0,0,0,0,80,32,6,19415.8
2,1,1,0,1,50,64,10,101484.2
4,1,0,1,1,80,1,6,48905.6
2,1,0,0,0,10,128,8,99683.6
3,0,0,1,0,20,2048,6,11023.0
3,1,1,0,0,80,1,10,50064.8
5,1,1,0,1,50,256,10,301311.6
2,1,0,0,1,40,2,8,80188.0
5,0,1,0,1,50,64,8,121759.6
3,1,0,1,0,50,1024,6,10762.6
1,1,0,0,0,20,2,8,79925.2
