new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,1,0,0,1,0,4,8,85548.6
2,0,0,1,0,70,4,0,17640.0
4,1,1,0,1,20,1024,6,20302.2
5,1,1,0,1,80,256,0,9142.0
2,0,1,0,0,100,256,8,101149.2
1,1,0,1,0,70,4,8,114463.2
2,1,1,0,1,40,64,10,101456.0
3,1,1,1,0,70,512,2,12195.6
2,1,0,1,1,0,256,8,131447.6
4,1,0,1,1,20,1024,6,48712.4
2,0,1,0,1,0,64,10,85374.4
1,1,0,1,0,20,128,0,17821.6
4,0,1,0,0,40,1,4,20221.8
5,0,1,0,1,90,2048,6,47634.2
1,1,1,1,1,10,512,4,12402.8
2,0,1,1,1,40,32,8,103401.2
1,0,1,0,1,100,4,4,12456.0
4,0,1,1,0,80,1,2,35867.6
5,0,0,0,0,100,128,0,9136.2
2,1,1,1,0,70,2,4,13289.6
3,1,1,1,0,40,4,6,13505.0
1,0,0,0,1,90,4,10,80685.8
3,1,0,0,0,30,1024,0,12085.2
4,1,1,0,0,100,256,8,38915.8
4,0,0,1,0,60,2048,2,35621.6
2,1,0,0,1,50,128,4,4549.4
1,1,0,1,0,100,256,6,90679.2
5,0,0,1,1,100,2048,0,9189.4
4,0,0,0,1,70,16,8,41719.0
5,1,0,1,0,70,2,0,9172.8
4,1,0,1,0,80,32,4,43529.6
3,0,1,0,0,30,32,2,12225.4
2,0,0,1,1,50,4096,6,90974.6
1,1,0,1,0,10,4,6,103719.8
4,0,0,1,1,50,1,4,42823.2
3,1,0,1,1,10,256,4,12540.2
3,0,1,1,0,10,1,10,50372.2
4,1,0,1,0,50,1024,2,35688.0
5,0,1,0,1,20,4096,6,47604.8
1,0,0,0,0,40,16,10,96382.4
5,1,1,0,1,80,512,4,9124.8
4,0,1,0,0,40,16,10,123341.6
1,1,0,1,0,10,4096,4,12397.2
4,0,0,1,0,100,64,0,35969.0
4,1,0,0,1,60,2,6,26438.8
2,1,1,1,0,90,128,4,11805.6
5,0,0,1,0,60,16,6,47491.6
2,0,1,0,1,20,1,10,83519.4
2,0,1,1,0,90,1024,2,17692.0
