new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,1,0,1,1,80,32,6,91844.2
1,1,0,1,0,80,64,6,90996.8
3,1,0,1,0,70,64,6,10901.0
3,0,1,1,0,70,2048,6,10717.6
5,0,1,1,0,70,16,2,9136.0
4,0,1,0,1,70,16,2,8975.0
4,0,0,1,1,60,16,2,35918.2
4,1,1,0,0,70,32,2,8915.2
3,1,0,0,0,70,32,4,12283.2
4,0,0,0,0,70,32,8,39688.8
2,1,0,0,0,40,32,2,4950.4
2,1,0,0,1,0,32,6,82066.4
2,0,0,1,0,40,32,0,17680.2
2,0,0,0,1,30,32,2,4964.6
2,0,0,1,1,30,512,4,11973.0
2,0,1,1,1,30,8,2,17639.2
5,0,0,0,1,0,1024,2,9305.2
2,1,0,0,1,60,16,2,4954.6
2,0,1,1,1,60,16,2,17652.2
2,0,1,0,1,60,4,2,5413.8
5,0,0,0,0,60,4,2,9271.6
2,0,0,0,0,60,256,2,4746.6
2,0,1,0,0,80,256,10,101350.4
1,0,0,1,0,60,256,4,11780.8
2,1,0,1,0,60,256,6,90883.0
3,1,0,1,0,60,256,2,11966.2
2,0,0,1,1,60,128,2,17602.0
4,0,0,1,0,50,256,2,35850.8
2,1,0,0,0,0,64,2,11402.0
2,0,1,1,0,60,256,6,90892.4
4,0,0,0,0,60,32,6,19537.8
2,0,0,0,1,30,4096,2,4858.8
2,0,1,1,1,30,4096,6,91550.0
2,1,0,0,1,80,1,2,11224.8
5,1,0,1,1,30,4096,2,9179.0
5,0,1,0,1,40,4096,2,9206.4
2,0,0,1,0,30,512,2,17660.0
2,0,0,0,0,100,16,2,4918.0
2,1,0,0,0,100,4,8,80766.0
2,1,0,1,0,100,16,8,105789.6
2,0,0,0,1,50,16,0,5027.6
1,1,0,0,1,50,16,10,96176.8
2,0,0,0,0,30,2,0,7438.6
2,0,0,1,1,80,16,4,12053.8
2,0,1,1,0,50,16,0,17647.8
2,0,0,1,1,50,2,6,107291.2
2,0,0,1,0,50,4096,0,17706.0
4,0,0,1,1,50,4,0,35729.8
5,0,0,0,1,70,1024,0,9225.2
