new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,0,2,2,1,0,2048,0,165.18
0,0,2,1,0,0,4096,0,164.4548
0,0,2,1,1,1,2048,0,166.6984
0,2,1,0,0,0,4096,5,167.179
0,0,2,1,1,1,1024,0,166.5828
1,2,2,1,1,0,4096,1,167.3408
0,2,2,1,1,1,1024,1,166.4296
1,2,2,1,0,0,1024,5,164.644
0,0,2,2,1,0,1024,0,161.9528
1,2,1,0,0,0,512,1,166.3008
0,2,2,1,1,0,1024,1,166.458
0,1,2,1,1,1,1024,0,32.4414
0,2,2,1,1,0,4096,9,165.8492
0,0,2,0,1,1,1024,0,165.3184
1,0,2,0,1,1,1024,0,165.6808
0,0,2,0,1,0,2048,0,163.7926
1,2,2,1,0,0,2048,5,167.3888
0,0,2,2,1,1,1024,0,165.1184
0,0,2,2,1,0,2048,0,164.9596
1,0,2,0,1,0,4096,0,167.101
0,0,2,1,1,0,4096,0,164.5762
0,0,2,1,1,0,512,0,165.6874
0,0,2,1,1,1,4096,0,164.5404
0,0,2,1,1,0,4096,0,164.5762
0,0,2,0,1,0,4096,0,164.9116
0,0,2,1,1,0,4096,0,164.5762
0,0,2,1,1,1,1024,0,166.5828
0,0,2,2,1,0,1024,0,161.9528
0,0,2,2,1,0,2048,0,164.9596
0,1,2,1,0,0,4096,0,32.8414
0,1,2,0,1,0,1024,0,31.4174
0,0,2,0,1,0,1024,0,163.6422
0,0,2,0,1,0,1024,0,163.6422
0,1,2,1,1,0,4096,0,32.1888
0,1,2,0,1,0,1024,0,31.4174
0,1,2,0,1,0,2048,0,31.6254
1,1,2,1,1,1,1024,0,31.9676
0,1,2,0,0,0,1024,0,31.2232
0,1,2,1,1,0,1024,0,31.5162
0,1,2,1,0,0,1024,0,31.283
0,1,2,1,1,1,2048,0,32.8896
0,1,2,1,0,1,1024,0,32.4226
0,1,2,0,0,0,1024,0,31.2232
0,1,2,1,1,1,512,0,31.368
0,1,2,0,0,0,2048,0,31.6514
0,1,2,0,1,0,1024,0,31.4174
0,1,2,1,0,0,1024,0,31.283
1,1,2,0,0,0,1024,0,31.2326
0,1,2,0,0,0,1024,0,31.2232
0,1,2,0,1,0,512,0,31.0946
